7392-767066
OS REV: 1.11 Sensor Cal: 1498245175
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1512715620,+3.52,+28.735, +3.238,+1.001
1512716220,+3.52,+28.726, +3.012,+1.001
1512716820,+3.52,+28.683, +2.906,+1.002
1512717420,+3.52,+28.812, +2.890,+1.002
1512718020,+3.52,+28.786, +2.874,+1.002
1512718620,+3.52,+28.769, +3.110,+1.002
1512719220,+3.52,+28.812, +2.905,+1.002
1512719820,+3.52,+28.778, +2.945,+1.002
1512720420,+3.52,+28.803, +3.077,+1.002
1512721020,+3.52,+29.018, +3.054,+1.002
1512721620,+3.52,+29.190, +2.861,+1.003
1512722220,+3.51,+29.095, +2.910,+1.002
1512722820,+3.52,+29.147, +3.057,+1.002
1512723420,+3.52,+29.258, +3.036,+1.003
1512724020,+3.52,+29.258, +2.967,+1.002
1512724620,+3.52,+29.164, +3.217,+1.001
1512725220,+3.52,+29.044, +3.371,+1.002
1512725820,+3.52,+29.044, +3.309,+1.001
1512726420,+3.52,+29.052, +3.334,+1.002
1512727020,+3.52,+29.087, +3.408,+1.002
1512727620,+3.52,+29.138, +3.332,+1.001
1512728220,+3.52,+29.112, +3.190,+1.002
1512728820,+3.52,+29.164, +3.353,+1.000
1512729420,+3.52,+29.155, +3.263,+1.002
1512730020,+3.52,+29.129, +3.184,+1.002
1512730620,+3.52,+29.112, +3.214,+1.003
1512731220,+3.52,+29.087, +3.151,+1.002
1512731820,+3.52,+29.069, +3.129,+1.001
1512732420,+3.52,+29.052, +3.107,+1.002
1512733020,+3.52,+29.035, +3.060,+1.002
1512733620,+3.52,+29.009, +3.359,+1.002
1512734220,+3.52,+29.001, +3.386,+1.001
1512734820,+3.52,+28.992, +3.258,+1.001
1512735420,+3.52,+28.975, +3.418,+1.002
1512736020,+3.52,+28.984, +3.131,+1.002
1512736620,+3.52,+28.958, +3.372,+1.001
1512737220,+3.52,+28.949, +3.430,+1.001
1512737820,+3.52,+28.923, +3.324,+1.001
1512738420,+3.52,+28.923, +3.134,+1.001
1512739020,+3.52,+28.932, +3.128,+1.002
1512739620,+3.52,+28.923, +3.233,+1.002
1512740220,+3.52,+28.915, +3.037,+1.002
1512740820,+3.52,+28.923, +3.047,+1.003
1512741420,+3.52,+28.898, +2.885,+1.002
1512742020,+3.52,+28.881, +2.789,+1.001
1512742620,+3.52,+28.872, +3.039,+1.002
1512743220,+3.52,+28.863, +2.847,+1.001
1512743820,+3.52,+28.881, +2.792,+1.001
1512744420,+3.52,+28.872, +2.756,+1.000
1512745020,+3.52,+28.863, +2.677,+1.001
1512745620,+3.52,+28.872, +3.158,+1.002
1512746220,+3.52,+28.829, +3.246,+1.001
1512746820,+3.52,+28.821, +3.149,+1.000
1512747420,+3.52,+28.829, +3.281,+1.001
1512748020,+3.52,+28.846, +3.120,+1.001
1512748620,+3.52,+28.821, +3.131,+1.000
1512749220,+3.52,+28.821, +2.990,+1.002
1512749820,+3.52,+28.812, +3.128,+1.002
1512750420,+3.52,+28.812, +2.981,+1.001
1512751020,+3.52,+28.786, +2.803,+1.000
1512751620,+3.52,+28.786, +2.859,+1.001
1512752220,+3.51,+28.795, +3.232,+1.001
1512752820,+3.52,+28.795, +3.043,+1.001
1512753420,+3.52,+28.795, +2.906,+1.001
1512754020,+3.52,+28.803, +2.761,+1.001
1512754620,+3.52,+28.786, +3.123,+1.001
1512755220,+3.52,+28.829, +3.007,+1.001
1512755820,+3.52,+28.863, +2.937,+1.002
1512756420,+3.52,+28.881, +2.735,+1.001
1512757020,+3.52,+28.898, +2.776,+1.001
1512757620,+3.52,+28.898, +2.785,+1.001
1512758220,+3.52,+28.881, +2.784,+1.001
1512758820,+3.52,+28.881, +2.887,+1.002
1512759420,+3.52,+28.855, +2.807,+1.001
1512760020,+3.52,+28.846, +2.701,+1.001
1512760620,+3.52,+28.829, +2.811,+1.001
1512761220,+3.52,+28.829, +2.694,+1.001
1512761820,+3.52,+28.812, +2.582,+1.001
1512762420,+3.52,+28.821, +2.568,+1.001
1512763020,+3.52,+28.803, +2.413,+1.000
1512763620,+3.52,+28.838, +2.461,+1.001
1512764220,+3.52,+28.821, +2.458,+1.001
1512764820,+3.52,+28.821, +2.437,+1.001
1512765420,+3.52,+28.846, +2.435,+1.001
1512766020,+3.52,+28.829, +2.386,+1.001
1512766620,+3.52,+28.821, +2.280,+1.001
1512767220,+3.52,+28.829, +2.437,+1.001
1512767820,+3.52,+28.812, +2.368,+1.001
1512768420,+3.52,+28.803, +2.310,+1.002
1512769020,+3.52,+28.795, +2.264,+1.000
1512769620,+3.52,+28.803, +2.431,+1.000
1512770220,+3.52,+28.761, +2.672,+1.002
1512770820,+3.52,+28.743, +2.894,+1.001
1512771420,+3.52,+28.735, +2.913,+1.001
1512772020,+3.52,+28.718, +2.791,+1.001
1512772620,+3.52,+28.683, +2.989,+1.000
1512773220,+3.52,+28.718, +2.942,+1.001
1512773820,+3.52,+28.683, +3.045,+1.001
1512774420,+3.52,+28.701, +2.784,+1.001
1512775020,+3.52,+28.658, +2.576,+1.000
1512775620,+3.52,+28.675, +2.643,+1.001
1512776220,+3.52,+28.649, +2.825,+1.001
1512776820,+3.52,+28.632, +2.718,+0.999
1512777420,+3.52,+28.632, +2.810,+1.000
1512778020,+3.52,+28.632, +2.787,+1.002
1512778620,+3.52,+28.632, +2.800,+1.000
1512779220,+3.52,+28.632, +2.951,+1.001
1512779820,+3.52,+28.598, +3.093,+1.001
1512780420,+3.52,+28.598, +3.008,+1.001
1512781020,+3.52,+28.606, +3.129,+1.001
1512781620,+3.52,+28.615, +3.298,+1.001
1512782220,+3.52,+28.615, +3.295,+1.002
1512782820,+3.52,+28.623, +3.174,+1.001
1512783420,+3.52,+28.623, +3.275,+1.002
1512784020,+3.52,+28.632, +3.153,+1.000
1512784620,+3.52,+28.641, +3.138,+1.001
1512785220,+3.52,+28.675, +3.190,+1.001
1512785820,+3.52,+28.675, +3.185,+1.000
1512786420,+3.52,+28.701, +3.146,+1.001
1512787020,+3.52,+28.718, +3.245,+1.001
1512787620,+3.52,+28.726, +3.350,+1.002
1512788220,+3.52,+28.743, +3.380,+1.001
1512788820,+3.52,+28.743, +3.334,+1.000
1512789420,+3.52,+28.769, +3.452,+1.000
1512790020,+3.52,+28.786, +3.471,+1.000
1512790620,+3.52,+28.803, +3.507,+1.000
1512791220,+3.52,+28.821, +3.644,+1.001
1512791820,+3.52,+28.846, +3.446,+1.001
1512792420,+3.52,+28.906, +3.413,+1.000
1512793020,+3.52,+28.906, +3.425,+1.001
1512793620,+3.52,+28.915, +3.325,+1.001
1512794220,+3.52,+28.932, +3.417,+1.000
1512794820,+3.52,+28.915, +3.384,+1.000
1512795420,+3.52,+28.915, +3.385,+0.999
1512796020,+3.52,+29.069, +3.371,+1.001
1512796620,+3.52,+28.932, +3.275,+1.001
1512797220,+3.52,+29.379, +3.631,+1.001
1512797820,+3.52,+29.241, +3.513,+1.001
1512798420,+3.52,+29.525, +3.680,+1.000
1512799020,+3.52,+29.723, +3.704,+1.000
1512799620,+3.52,+30.043, +3.841,+1.000
1512800220,+3.52,+30.198, +3.831,+1.001
1512800820,+3.52,+29.844, +3.461,+0.999
1512801420,+3.52,+30.034, +3.488,+1.000
1512802020,+3.52,+30.017, +3.381,+1.001
