7392-767066
OS REV: 1.11 Sensor Cal: 1498245175
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1512802620,+3.52,+30.094, +3.475,+1.000
1512803220,+3.52,+29.784, +3.423,+1.000
1512803820,+3.52,+30.025, +3.453,+1.000
1512804420,+3.52,+30.060, +3.522,+0.999
1512805020,+3.52,+29.870, +3.370,+1.000
1512805620,+3.52,+29.732, +3.441,+0.999
1512806220,+3.52,+29.525, +3.224,+1.000
1512806820,+3.52,+29.379, +3.221,+1.000
1512807420,+3.52,+29.293, +3.233,+1.001
1512808020,+3.52,+29.284, +3.244,+1.000
1512808620,+3.52,+29.267, +3.238,+1.001
1512809220,+3.52,+29.387, +3.164,+1.002
1512809820,+3.52,+29.379, +3.073,+1.001
1512810420,+3.52,+29.542, +3.380,+1.001
1512811020,+3.52,+29.525, +3.274,+1.000
1512811620,+3.52,+29.663, +3.416,+1.000
1512812220,+3.52,+29.749, +3.311,+1.001
1512812820,+3.52,+29.749, +3.412,+1.000
1512813420,+3.52,+29.594, +3.403,+1.001
1512814020,+3.52,+29.585, +3.290,+1.001
1512814620,+3.52,+29.603, +3.224,+1.002
1512815220,+3.52,+29.559, +3.519,+1.000
1512815820,+3.52,+29.534, +3.410,+1.000
1512816420,+3.52,+29.594, +3.417,+0.999
1512817020,+3.52,+29.577, +3.578,+1.001
1512817620,+3.52,+29.620, +3.584,+1.001
1512818220,+3.52,+29.611, +3.643,+1.000
1512818820,+3.52,+29.594, +3.614,+1.000
1512819420,+3.52,+29.568, +3.669,+1.000
1512820020,+3.52,+29.559, +3.584,+1.001
1512820620,+3.52,+29.508, +3.633,+1.000
1512821220,+3.52,+29.499, +3.519,+1.000
1512821820,+3.52,+29.465, +3.570,+1.001
1512822420,+3.52,+29.439, +3.815,+0.999
1512823020,+3.52,+29.405, +3.691,+0.999
1512823620,+3.52,+29.396, +3.659,+1.000
1512824220,+3.52,+29.379, +3.664,+1.001
1512824820,+3.52,+29.336, +3.502,+1.000
1512825420,+3.52,+29.336, +3.461,+1.001
1512826020,+3.52,+29.310, +3.381,+1.001
1512826620,+3.52,+29.301, +3.456,+1.001
1512827220,+3.52,+29.301, +3.241,+1.001
1512827820,+3.52,+29.310, +3.439,+1.000
1512828420,+3.52,+29.276, +3.371,+1.001
1512829020,+3.52,+29.284, +3.352,+1.001
1512829620,+3.52,+29.284, +3.193,+1.002
1512830220,+3.52,+29.267, +3.287,+1.001
1512830820,+3.52,+29.241, +3.261,+1.000
1512831420,+3.52,+29.250, +3.329,+1.001
1512832020,+3.52,+29.241, +3.257,+1.001
1512832620,+3.52,+29.241, +3.228,+1.001
1512833220,+3.52,+29.233, +3.169,+1.000
1512833820,+3.52,+29.198, +3.127,+1.001
1512834420,+3.52,+29.224, +3.104,+1.001
1512835020,+3.52,+29.207, +3.082,+1.001
1512835620,+3.52,+29.198, +3.030,+1.000
1512836220,+3.52,+29.215, +3.022,+1.000
1512836820,+3.52,+29.215, +3.236,+1.001
1512837420,+3.52,+29.181, +3.180,+1.001
1512838020,+3.52,+29.190, +3.190,+1.000
1512838620,+3.52,+29.190, +3.160,+1.001
1512839220,+3.52,+29.155, +3.196,+1.002
1512839820,+3.52,+29.138, +3.198,+1.001
1512840420,+3.52,+29.138, +3.133,+1.001
1512841020,+3.52,+29.129, +3.313,+1.002
1512841620,+3.52,+29.095, +3.417,+1.000
1512842220,+3.52,+29.087, +3.278,+1.001
1512842820,+3.52,+29.129, +3.242,+1.000
1512843420,+3.52,+29.112, +3.222,+1.001
1512844020,+3.52,+29.095, +3.157,+1.001
1512844620,+3.52,+29.069, +3.260,+1.000
1512845220,+3.52,+29.104, +3.182,+1.001
1512845820,+3.52,+29.069, +3.104,+1.000
1512846420,+3.52,+29.129, +2.981,+1.001
1512847020,+3.52,+29.138, +2.832,+1.001
1512847620,+3.52,+29.147, +2.820,+1.001
1512848220,+3.52,+29.138, +2.827,+1.002
1512848820,+3.52,+29.112, +2.910,+1.001
1512849420,+3.52,+29.069, +2.994,+1.000
1512850020,+3.52,+29.026, +3.169,+1.001
