7392-767066
OS REV: 1.11 Sensor Cal: 1498245175
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1512850620,+3.52,+29.018, +3.341,+0.999
1512851220,+3.52,+29.018, +3.318,+1.002
1512851820,+3.52,+28.966, +3.377,+1.001
1512852420,+3.52,+28.984, +3.455,+1.000
1512853020,+3.52,+28.966, +3.244,+1.001
1512853620,+3.52,+28.958, +3.476,+1.001
1512854220,+3.52,+28.958, +3.502,+1.001
1512854820,+3.52,+28.958, +3.519,+1.001
1512855420,+3.52,+28.932, +3.593,+0.999
1512856020,+3.52,+28.932, +3.581,+1.001
1512856620,+3.52,+28.949, +3.585,+1.001
1512857220,+3.52,+28.923, +3.649,+0.999
1512857820,+3.52,+28.898, +3.612,+1.001
1512858420,+3.52,+28.898, +3.586,+1.000
1512859020,+3.52,+28.898, +3.656,+1.000
1512859620,+3.52,+28.872, +3.684,+1.000
1512860220,+3.52,+28.863, +3.619,+1.000
1512860820,+3.52,+28.872, +3.709,+1.001
1512861420,+3.52,+28.881, +3.662,+1.000
1512862020,+3.52,+28.863, +3.565,+1.000
1512862620,+3.52,+28.872, +3.539,+1.001
1512863220,+3.52,+28.838, +3.687,+1.000
1512863820,+3.52,+28.838, +3.607,+0.999
1512864420,+3.52,+28.838, +3.577,+1.001
1512865020,+3.52,+28.821, +3.541,+1.000
1512865620,+3.52,+28.829, +3.546,+1.000
1512866220,+3.52,+28.812, +3.564,+1.000
1512866820,+3.52,+28.829, +3.432,+1.000
1512867420,+3.52,+28.812, +3.457,+1.000
1512868020,+3.52,+28.821, +3.685,+1.000
1512868620,+3.52,+28.786, +3.607,+1.000
1512869220,+3.52,+28.821, +3.618,+0.999
1512869820,+3.52,+28.786, +3.519,+1.000
1512870420,+3.52,+28.821, +3.585,+1.000
1512871020,+3.52,+28.838, +3.564,+1.001
1512871620,+3.52,+28.821, +3.444,+1.001
1512872220,+3.52,+28.838, +3.504,+1.000
1512872820,+3.52,+28.838, +3.547,+1.000
1512873420,+3.52,+28.881, +3.875,+1.000
1512874020,+3.52,+28.898, +3.840,+1.000
1512874620,+3.52,+28.898, +3.735,+1.000
1512875220,+3.52,+28.923, +3.782,+1.000
1512875820,+3.52,+28.923, +3.834,+1.000
1512876420,+3.52,+28.949, +3.819,+0.999
1512877020,+3.52,+28.941, +3.919,+1.000
1512877620,+3.52,+28.984, +3.836,+0.999
1512878220,+3.52,+28.984, +3.763,+1.000
1512878820,+3.52,+28.975, +3.699,+0.999
1512879420,+3.52,+29.018, +3.732,+1.000
1512880020,+3.52,+29.018, +3.772,+0.999
1512880620,+3.52,+29.044, +3.730,+1.000
1512881220,+3.52,+29.095, +3.845,+1.000
1512881820,+3.52,+29.104, +3.453,+1.001
1512882420,+3.52,+29.104, +3.678,+1.000
1512883020,+3.52,+29.258, +3.744,+0.999
1512883620,+3.52,+29.353, +3.787,+1.000
1512884220,+3.52,+29.215, +3.849,+0.998
1512884820,+3.52,+29.620, +4.070,+1.000
1512885420,+3.52,+29.697, +3.974,+0.999
1512886020,+3.52,+29.671, +4.056,+0.999
1512886620,+3.52,+29.809, +3.968,+1.000
1512887220,+3.52,+30.259, +4.302,+1.000
1512887820,+3.52,+29.637, +3.904,+0.998
1512888420,+3.52,+29.749, +3.841,+0.999
1512889020,+3.52,+30.146, +4.361,+0.999
