7392-767066
OS REV: 1.11 Sensor Cal: 1498245175
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1513324620,+3.52,+29.878, +2.793,+1.001
1513325220,+3.52,+29.534, +2.753,+1.000
1513325820,+3.52,+29.301, +2.786,+1.000
1513326420,+3.52,+29.922, +2.839,+1.002
1513327020,+3.52,+30.043, +3.024,+1.001
1513327620,+3.52,+30.060, +2.869,+1.001
1513328220,+3.52,+29.999, +2.957,+1.000
1513328820,+3.51,+29.663, +2.793,+1.000
1513329420,+3.52,+29.853, +2.864,+1.000
1513330020,+3.52,+29.965, +2.910,+1.000
1513330620,+3.52,+29.887, +2.777,+1.001
1513331220,+3.52,+29.878, +2.843,+1.000
1513331820,+3.52,+29.861, +2.906,+1.002
1513332420,+3.52,+29.663, +2.725,+1.001
1513333020,+3.52,+29.801, +2.906,+1.000
1513333620,+3.52,+29.680, +2.753,+1.000
1513334220,+3.52,+29.663, +2.779,+1.000
1513334820,+3.52,+29.654, +2.745,+1.001
1513335420,+3.52,+29.585, +2.635,+1.001
1513336020,+3.52,+29.620, +2.662,+1.001
1513336620,+3.52,+29.525, +2.468,+1.001
1513337220,+3.52,+29.585, +2.474,+1.001
1513337820,+3.52,+29.559, +2.060,+1.001
1513338420,+3.52,+29.551, +2.602,+1.001
1513339020,+3.52,+29.534, +2.694,+1.001
1513339620,+3.52,+28.119, +7.602,+0.997
1513340220,+3.52,+26.614, +7.774,+0.996
1513340820,+3.52,+26.597, +7.789,+0.999
1513341420,+3.52,+26.343, +7.823,+0.999
1513342020,+3.52,+26.106, +7.835,+0.998
1513342620,+3.52,+25.912, +7.883,+0.999
1513343220,+3.52,+25.734, +7.907,+0.999
1513343820,+3.52,+25.574, +7.932,+0.998
1513344420,+3.52,+25.599, +7.919,+0.998
1513345020,+3.52,+25.658, +7.901,+0.996
1513345620,+3.52,+25.718, +7.903,+0.997
1513346220,+3.52,+25.777, +7.906,+0.998
1513346820,+3.52,+25.793, +7.908,+0.999
1513347420,+3.52,+25.650, +7.897,+0.996
1513348020,+3.52,+25.498, +7.953,+0.999
1513348620,+3.52,+25.355, +7.926,+0.996
1513349220,+3.52,+25.212, +7.992,+0.998
1513349820,+3.52,+25.161, +7.984,+0.997
1513350420,+3.52,+25.220, +7.981,+0.996
1513351020,+3.52,+25.262, +7.996,+0.998
1513351620,+3.52,+25.456, +7.975,+0.999
1513352220,+3.51,+25.338, +7.971,+0.997
