7392-767066
OS REV: 1.11 Sensor Cal: 1498245175
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1513063620,+3.52,+30.328, +3.874,+1.000
1513064220,+3.52,+30.267, +3.801,+0.999
1513064820,+3.52,+30.458, +4.112,+0.998
1513065420,+3.52,+30.397, +3.929,+0.998
1513066020,+3.52,+30.051, +3.361,+1.000
1513066620,+3.52,+29.887, +3.487,+1.000
1513067220,+3.52,+29.965, +3.484,+1.002
1513067820,+3.52,+29.792, +3.424,+1.000
1513068420,+3.52,+29.809, +3.550,+1.000
1513069020,+3.52,+30.017, +3.720,+1.000
1513069620,+3.52,+29.991, +3.491,+0.999
1513070220,+3.52,+30.017, +3.663,+0.999
1513070820,+3.52,+29.922, +3.405,+1.001
1513071420,+3.52,+29.896, +3.480,+1.000
1513072020,+3.52,+29.870, +3.277,+1.000
1513072620,+3.52,+29.870, +3.387,+1.001
1513073220,+3.52,+29.878, +3.269,+1.000
1513073820,+3.52,+29.861, +3.301,+1.000
1513074420,+3.52,+29.792, +3.381,+1.000
1513075020,+3.52,+29.706, +3.230,+1.001
1513075620,+3.52,+29.715, +2.835,+1.001
1513076220,+3.52,+29.671, +3.050,+1.000
1513076820,+3.52,+29.654, +3.234,+0.999
1513077420,+3.52,+29.697, +3.456,+1.001
1513078020,+3.52,+29.723, +3.280,+1.001
1513078620,+3.52,+29.715, +3.284,+1.001
1513079220,+3.52,+29.697, +3.306,+1.000
1513079820,+3.52,+29.663, +3.200,+1.001
1513080420,+3.52,+29.628, +3.434,+1.001
1513081020,+3.52,+29.611, +3.317,+1.001
1513081620,+3.52,+29.551, +3.580,+1.000
1513082220,+3.52,+29.516, +3.480,+1.000
1513082820,+3.52,+29.499, +3.404,+1.000
1513083420,+3.52,+29.465, +3.398,+1.000
1513084020,+3.52,+29.448, +3.333,+1.000
1513084620,+3.52,+29.430, +3.225,+1.000
1513085220,+3.52,+29.422, +3.241,+1.002
1513085820,+3.52,+29.387, +3.292,+1.000
1513086420,+3.52,+29.370, +3.124,+1.001
1513087020,+3.52,+29.362, +3.231,+1.000
1513087620,+3.52,+29.353, +3.078,+1.001
1513088220,+3.52,+29.327, +3.125,+1.001
1513088820,+3.52,+29.327, +3.207,+1.000
1513089420,+3.52,+29.310, +3.163,+1.000
1513090020,+3.52,+29.310, +3.154,+1.001
1513090620,+3.52,+29.301, +3.245,+1.000
1513091220,+3.52,+29.293, +3.287,+1.001
1513091820,+3.52,+29.310, +3.353,+1.001
1513092420,+3.52,+29.301, +3.350,+1.001
1513093020,+3.52,+29.293, +3.451,+1.000
1513093620,+3.52,+29.310, +3.235,+1.001
