7392-767066
OS REV: 1.11 Sensor Cal: 1498245175
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1513094220,+3.52,+29.276, +3.287,+1.001
1513094820,+3.52,+29.284, +3.247,+1.001
1513095420,+3.52,+29.293, +3.447,+0.999
1513096020,+3.52,+29.284, +3.365,+1.000
1513096620,+3.52,+29.267, +3.362,+1.000
1513097220,+3.52,+29.276, +3.081,+1.000
1513097820,+3.52,+29.301, +3.435,+1.000
1513098420,+3.52,+29.293, +3.336,+1.000
1513099020,+3.52,+29.284, +3.340,+1.000
1513099620,+3.52,+29.293, +3.195,+1.000
1513100220,+3.52,+29.293, +3.282,+1.000
1513100820,+3.52,+29.284, +3.318,+1.001
1513101420,+3.52,+29.284, +3.083,+1.000
1513102020,+3.52,+29.276, +3.106,+1.001
1513102620,+3.52,+29.267, +2.774,+1.001
1513103220,+3.52,+29.276, +2.725,+1.000
1513103820,+3.52,+29.276, +2.962,+1.001
1513104420,+3.52,+29.276, +3.052,+1.002
1513105020,+3.52,+29.276, +3.049,+1.001
1513105620,+3.52,+29.284, +3.198,+1.001
1513106220,+3.52,+29.293, +3.290,+1.000
1513106820,+3.52,+29.293, +3.242,+1.001
1513107420,+3.52,+29.301, +3.068,+1.000
1513108020,+3.52,+29.293, +3.363,+1.000
1513108620,+3.52,+29.284, +3.366,+1.001
1513109220,+3.52,+29.293, +3.415,+1.002
1513109820,+3.52,+29.267, +3.378,+1.000
1513110420,+3.52,+29.276, +3.480,+1.001
1513111020,+3.52,+29.284, +3.479,+1.001
1513111620,+3.52,+29.293, +3.402,+0.999
1513112220,+3.52,+29.276, +3.255,+1.000
1513112820,+3.52,+29.284, +3.452,+1.000
1513113420,+3.52,+29.267, +3.264,+1.000
1513114020,+3.52,+29.258, +3.362,+1.001
1513114620,+3.52,+29.258, +3.368,+1.000
1513115220,+3.52,+29.233, +3.393,+1.000
1513115820,+3.52,+29.267, +3.468,+1.000
1513116420,+3.52,+29.250, +3.452,+1.000
1513117020,+3.52,+29.241, +3.260,+1.000
1513117620,+3.52,+29.250, +3.284,+1.001
1513118220,+3.52,+29.224, +3.391,+1.000
1513118820,+3.52,+29.215, +3.472,+1.000
1513119420,+3.52,+29.181, +3.346,+1.001
1513120020,+3.52,+29.198, +3.447,+1.000
1513120620,+3.52,+29.190, +3.348,+1.001
1513121220,+3.52,+29.181, +3.250,+1.000
1513121820,+3.52,+29.155, +3.234,+1.001
1513122420,+3.52,+29.181, +3.284,+1.001
1513123020,+3.52,+29.190, +3.298,+1.000
1513123620,+3.52,+29.190, +3.293,+1.001
1513124220,+3.52,+29.190, +3.223,+1.001
1513124820,+3.52,+29.164, +3.234,+1.000
1513125420,+3.52,+29.172, +3.239,+1.000
1513126020,+3.52,+29.164, +3.293,+1.000
1513126620,+3.52,+29.164, +3.257,+1.001
1513127220,+3.52,+29.164, +3.046,+1.002
1513127820,+3.52,+29.155, +3.188,+1.001
1513128420,+3.52,+29.155, +3.174,+1.001
1513129020,+3.52,+29.181, +3.191,+1.002
1513129620,+3.52,+29.172, +3.180,+1.000
1513130220,+3.52,+29.164, +3.186,+1.000
1513130820,+3.52,+29.164, +3.219,+1.001
1513131420,+3.52,+29.155, +3.113,+1.001
1513132020,+3.52,+29.181, +2.986,+1.000
1513132620,+3.52,+29.172, +3.103,+1.002
1513133220,+3.52,+29.164, +2.717,+1.001
1513133820,+3.52,+29.172, +2.692,+1.001
1513134420,+3.52,+29.181, +2.725,+1.001
1513135020,+3.52,+29.215, +3.096,+1.001
1513135620,+3.52,+29.224, +3.045,+1.001
1513136220,+3.52,+29.241, +3.125,+1.000
1513136820,+3.52,+29.250, +2.947,+1.001
1513137420,+3.52,+29.267, +3.088,+1.000
1513138020,+3.52,+29.293, +3.227,+1.001
1513138620,+3.52,+29.327, +3.229,+1.000
1513139220,+3.52,+29.344, +3.255,+1.001
1513139820,+3.52,+29.319, +3.028,+1.000
1513140420,+3.52,+29.379, +3.196,+1.001
1513141020,+3.52,+29.482, +3.537,+1.000
1513141620,+3.52,+29.568, +3.505,+1.000
1513142220,+3.52,+29.853, +3.753,+1.000
1513142820,+3.52,+29.887, +3.696,+0.999
1513143420,+3.52,+29.715, +3.331,+1.000
1513144020,+3.52,+29.473, +3.292,+1.000
1513144620,+3.52,+29.379, +3.334,+1.000
1513145220,+3.52,+29.370, +3.129,+1.000
1513145820,+3.52,+29.697, +3.352,+1.000
1513146420,+3.52,+29.491, +3.373,+1.000
1513147020,+3.52,+29.577, +3.388,+1.002
1513147620,+3.52,+29.542, +3.479,+1.001
1513148220,+3.52,+29.405, +3.372,+0.999
1513148820,+3.52,+29.620, +3.741,+1.000
1513149420,+3.52,+29.577, +3.772,+1.000
1513150020,+3.52,+29.654, +3.915,+0.999
