7392-767066
OS REV: 1.11 Sensor Cal: 1498245175
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1512976620,+3.52,+29.370, +3.853,+0.999
1512977220,+3.52,+29.344, +3.669,+0.999
1512977820,+3.52,+29.319, +3.620,+1.000
1512978420,+3.52,+29.344, +3.640,+1.000
1512979020,+3.52,+29.336, +3.492,+0.999
1512979620,+3.52,+29.396, +3.781,+1.000
1512980220,+3.52,+29.439, +3.871,+1.000
1512980820,+3.52,+29.465, +3.847,+0.999
1512981420,+3.52,+29.396, +3.627,+0.999
1512982020,+3.52,+29.413, +3.605,+1.000
1512982620,+3.52,+29.362, +3.624,+1.000
1512983220,+3.52,+29.336, +3.543,+0.999
1512983820,+3.52,+29.327, +3.617,+1.000
1512984420,+3.52,+29.336, +3.512,+1.001
1512985020,+3.52,+29.301, +3.550,+0.999
1512985620,+3.52,+29.336, +3.644,+1.000
1512986220,+3.52,+29.362, +3.948,+0.999
1512986820,+3.52,+29.387, +3.787,+0.999
1512987420,+3.52,+29.413, +3.783,+1.000
1512988020,+3.52,+29.379, +3.750,+0.999
1512988620,+3.52,+29.405, +3.656,+1.000
1512989220,+3.52,+29.405, +3.608,+1.000
1512989820,+3.52,+29.387, +3.538,+1.001
1512990420,+3.52,+29.370, +3.573,+0.999
1512991020,+3.52,+29.344, +3.462,+1.000
1512991620,+3.52,+29.319, +3.385,+1.000
1512992220,+3.52,+29.319, +3.264,+1.000
1512992820,+3.52,+29.284, +3.284,+1.001
1512993420,+3.52,+29.258, +3.275,+1.001
1512994020,+3.52,+29.241, +3.452,+1.000
1512994620,+3.52,+29.241, +3.408,+1.000
1512995220,+3.52,+29.224, +3.301,+1.000
1512995820,+3.52,+29.215, +3.212,+1.000
1512996420,+3.52,+29.190, +3.311,+1.000
1512997020,+3.52,+29.181, +3.336,+1.001
1512997620,+3.52,+29.190, +3.326,+1.001
1512998220,+3.52,+29.181, +3.277,+1.000
1512998820,+3.52,+29.190, +3.131,+1.000
1512999420,+3.52,+29.198, +3.221,+1.001
1513000020,+3.52,+29.181, +3.150,+1.001
1513000620,+3.52,+29.164, +2.868,+1.001
1513001220,+3.52,+29.164, +3.023,+1.001
1513001820,+3.52,+29.155, +3.117,+1.001
1513002420,+3.52,+29.155, +2.917,+1.001
1513003020,+3.52,+29.164, +3.205,+1.001
1513003620,+3.52,+29.164, +3.137,+1.001
1513004220,+3.52,+29.172, +3.103,+1.000
1513004820,+3.52,+29.172, +3.324,+1.001
1513005420,+3.52,+29.172, +3.105,+1.001
1513006020,+3.52,+29.164, +3.096,+1.002
1513006620,+3.52,+29.147, +3.115,+1.002
1513007220,+3.52,+29.147, +3.014,+1.000
1513007820,+3.52,+29.121, +2.922,+1.000
1513008420,+3.52,+29.138, +2.989,+1.001
1513009020,+3.52,+29.121, +3.029,+1.002
1513009620,+3.52,+29.129, +3.101,+1.001
1513010220,+3.52,+29.087, +2.698,+1.001
1513010820,+3.52,+29.104, +2.792,+1.001
1513011420,+3.52,+29.112, +2.676,+1.001
1513012020,+3.52,+29.104, +2.862,+1.001
1513012620,+3.52,+29.095, +2.611,+1.001
1513013220,+3.52,+29.121, +2.580,+1.001
1513013820,+3.52,+29.104, +2.699,+1.001
1513014420,+3.52,+29.112, +2.823,+1.001
1513015020,+3.52,+29.095, +2.788,+1.001
1513015620,+3.52,+29.112, +3.080,+1.000
1513016220,+3.52,+29.121, +3.189,+1.000
1513016820,+3.52,+29.095, +3.052,+1.001
1513017420,+3.52,+29.121, +3.152,+1.000
1513018020,+3.52,+29.112, +3.230,+1.000
1513018620,+3.52,+29.078, +3.218,+1.000
1513019220,+3.52,+29.087, +3.084,+1.002
1513019820,+3.52,+29.104, +3.101,+1.001
1513020420,+3.52,+29.087, +3.055,+1.001
1513021020,+3.52,+29.069, +3.181,+1.001
1513021620,+3.52,+29.069, +3.098,+1.001
1513022220,+3.52,+29.069, +3.244,+0.999
1513022820,+3.52,+29.061, +3.250,+1.001
1513023420,+3.52,+29.035, +3.252,+1.000
1513024020,+3.52,+29.035, +3.121,+1.002
1513024620,+3.52,+29.035, +3.099,+1.000
1513025220,+3.52,+29.018, +3.117,+1.001
1513025820,+3.52,+29.018, +2.897,+1.001
1513026420,+3.52,+29.026, +3.009,+1.002
1513027020,+3.52,+29.018, +2.999,+1.001
1513027620,+3.52,+28.992, +2.905,+1.001
1513028220,+3.52,+29.001, +2.929,+1.002
1513028820,+3.52,+28.992, +2.973,+1.001
1513029420,+3.52,+28.984, +3.050,+1.001
1513030020,+3.52,+28.984, +3.107,+1.000
1513030620,+3.52,+28.984, +3.128,+1.000
1513031220,+3.52,+28.984, +3.188,+1.002
1513031820,+3.52,+28.966, +3.210,+1.000
1513032420,+3.52,+28.966, +3.209,+1.000
1513033020,+3.52,+28.966, +3.277,+1.001
1513033620,+3.52,+28.958, +3.156,+1.000
1513034220,+3.52,+28.975, +3.261,+1.001
1513034820,+3.52,+28.984, +3.106,+1.001
1513035420,+3.52,+28.966, +3.093,+1.001
1513036020,+3.52,+28.966, +3.191,+1.000
1513036620,+3.52,+28.949, +3.111,+1.001
1513037220,+3.52,+28.984, +3.261,+1.002
1513037820,+3.52,+28.984, +3.167,+1.000
1513038420,+3.52,+28.941, +3.093,+1.001
1513039020,+3.52,+28.932, +3.260,+1.000
1513039620,+3.52,+28.941, +3.208,+1.001
1513040220,+3.52,+28.915, +3.167,+1.000
1513040820,+3.52,+28.932, +3.331,+1.001
1513041420,+3.52,+28.915, +3.245,+1.001
1513042020,+3.52,+28.889, +3.083,+1.001
1513042620,+3.52,+28.889, +3.296,+1.001
1513043220,+3.52,+28.881, +3.163,+1.000
1513043820,+3.52,+28.881, +3.370,+1.001
1513044420,+3.52,+28.881, +3.321,+1.001
1513045020,+3.52,+28.906, +3.453,+1.000
1513045620,+3.52,+28.941, +3.520,+1.001
1513046220,+3.52,+28.941, +3.546,+1.002
1513046820,+3.52,+28.949, +3.638,+1.000
1513047420,+3.52,+28.966, +3.705,+1.000
1513048020,+3.52,+28.958, +3.698,+1.001
1513048620,+3.52,+28.992, +3.763,+1.001
1513049220,+3.52,+29.026, +3.637,+1.000
1513049820,+3.52,+29.044, +3.800,+1.000
1513050420,+3.52,+29.035, +3.611,+1.000
1513051020,+3.52,+29.052, +3.491,+1.000
1513051620,+3.52,+29.078, +3.637,+1.000
1513052220,+3.52,+29.164, +3.781,+0.999
1513052820,+3.52,+29.138, +3.548,+0.999
1513053420,+3.52,+29.190, +3.665,+1.000
1513054020,+3.52,+29.215, +3.698,+0.999
1513054620,+3.52,+29.104, +3.653,+1.000
1513055220,+3.52,+29.181, +3.502,+1.001
