7392-767066
OS REV: 1.11 Sensor Cal: 1498245175
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1512628620,+3.51,+27.301, +7.692,+0.999
1512629220,+3.51,+28.264, +7.688,+1.001
1512629820,+3.51,+28.384, +3.816,+1.001
1512630420,+3.51,+28.418, +3.707,+1.001
1512631020,+3.51,+28.427, +3.372,+1.002
1512631620,+3.51,+28.521, +3.706,+1.002
1512632220,+3.51,+28.589, +3.633,+1.002
1512632820,+3.51,+28.623, +3.548,+1.001
1512633420,+3.51,+28.658, +3.623,+1.003
1512634020,+3.51,+28.735, +3.703,+1.003
1512634620,+3.51,+28.752, +3.619,+1.002
1512635220,+3.51,+28.735, +3.597,+1.002
1512635820,+3.51,+28.632, +3.624,+1.001
1512636420,+3.51,+28.632, +3.640,+1.002
1512637020,+3.51,+28.641, +3.694,+1.002
1512637620,+3.51,+28.675, +3.700,+1.002
1512638220,+3.51,+28.709, +3.846,+1.001
1512638820,+3.51,+28.709, +3.697,+1.001
1512639420,+3.51,+28.709, +3.683,+1.002
1512640020,+3.51,+28.675, +3.663,+1.002
1512640620,+3.51,+28.692, +3.824,+1.001
1512641220,+3.51,+28.641, +3.655,+1.002
1512641820,+3.51,+28.623, +3.777,+1.001
1512642420,+3.51,+28.632, +3.693,+1.001
1512643020,+3.51,+28.615, +3.604,+1.003
1512643620,+3.51,+28.598, +3.815,+1.001
1512644220,+3.51,+28.581, +3.777,+1.001
1512644820,+3.51,+28.555, +3.779,+1.001
1512645420,+3.51,+28.555, +3.750,+1.001
1512646020,+3.51,+28.538, +3.744,+1.001
1512646620,+3.51,+28.529, +4.003,+1.002
1512647220,+3.51,+28.521, +3.937,+1.001
1512647820,+3.51,+28.495, +3.747,+1.002
1512648420,+3.51,+28.461, +3.894,+1.001
1512649020,+3.51,+28.435, +3.927,+1.001
1512649620,+3.51,+28.427, +3.843,+1.001
1512650220,+3.51,+28.384, +3.915,+1.001
1512650820,+3.51,+28.367, +3.899,+1.000
1512651420,+3.51,+28.375, +3.792,+1.001
1512652020,+3.51,+28.384, +3.849,+1.001
1512652620,+3.51,+28.375, +3.840,+1.002
1512653220,+3.51,+28.358, +3.601,+1.002
1512653820,+3.51,+28.375, +3.490,+1.002
1512654420,+3.51,+28.375, +3.740,+1.001
1512655020,+3.51,+28.350, +3.764,+1.001
1512655620,+3.51,+28.333, +3.825,+1.002
1512656220,+3.51,+28.298, +3.735,+1.002
1512656820,+3.51,+28.324, +3.636,+1.002
1512657420,+3.51,+28.307, +3.504,+1.002
1512658020,+3.51,+28.307, +3.552,+1.002
1512658620,+3.51,+28.333, +3.543,+1.002
1512659220,+3.51,+28.315, +3.367,+1.002
1512659820,+3.51,+28.315, +3.092,+1.003
1512660420,+3.51,+28.341, +3.073,+1.002
1512661020,+3.51,+28.324, +2.937,+1.002
1512661620,+3.51,+28.315, +3.008,+1.001
1512662220,+3.51,+28.281, +3.163,+1.002
1512662820,+3.51,+28.324, +3.336,+1.001
1512663420,+3.51,+28.290, +2.893,+1.003
1512664020,+3.51,+28.324, +2.710,+1.003
1512664620,+3.51,+28.324, +3.002,+1.002
1512665220,+3.51,+28.333, +2.994,+1.002
1512665820,+3.51,+28.307, +3.154,+1.002
1512666420,+3.52,+28.333, +3.202,+1.001
1512667020,+3.51,+28.315, +3.227,+1.001
1512667620,+3.52,+28.307, +3.413,+1.002
1512668220,+3.51,+28.333, +3.244,+1.001
1512668820,+3.51,+28.341, +3.172,+1.003
1512669420,+3.51,+28.350, +3.290,+1.003
1512670020,+3.51,+28.315, +3.139,+1.002
1512670620,+3.51,+28.290, +3.204,+1.002
1512671220,+3.51,+28.307, +3.187,+1.003
1512671820,+3.51,+28.281, +2.991,+1.003
1512672420,+3.51,+28.290, +2.981,+1.003
1512673020,+3.52,+28.273, +2.868,+1.003
1512673620,+3.51,+28.264, +3.174,+1.002
1512674220,+3.51,+28.264, +3.094,+1.002
1512674820,+3.52,+28.290, +3.262,+1.002
1512675420,+3.52,+28.281, +3.028,+1.003
1512676020,+3.51,+28.298, +3.184,+1.002
1512676620,+3.51,+28.307, +2.995,+1.002
1512677220,+3.51,+28.307, +3.022,+1.003
1512677820,+3.51,+28.298, +2.955,+1.002
1512678420,+3.51,+28.298, +3.149,+1.003
1512679020,+3.51,+28.324, +3.089,+1.002
1512679620,+3.51,+28.298, +2.995,+1.002
1512680220,+3.51,+28.324, +2.949,+1.003
1512680820,+3.51,+28.315, +2.944,+1.003
1512681420,+3.52,+28.333, +3.001,+1.002
1512682020,+3.51,+28.341, +2.984,+1.003
1512682620,+3.51,+28.298, +2.952,+1.002
1512683220,+3.51,+28.324, +3.028,+1.003
1512683820,+3.51,+28.315, +3.071,+1.003
1512684420,+3.51,+28.333, +3.055,+1.002
1512685020,+3.51,+28.324, +3.013,+1.003
1512685620,+3.52,+28.281, +2.969,+1.002
1512686220,+3.51,+28.315, +2.890,+1.002
1512686820,+3.51,+28.290, +2.799,+1.002
1512687420,+3.51,+28.281, +2.932,+1.002
1512688020,+3.52,+28.247, +2.857,+1.002
1512688620,+3.51,+28.256, +3.021,+1.002
1512689220,+3.51,+28.239, +2.848,+1.003
1512689820,+3.51,+28.239, +2.833,+1.003
1512690420,+3.51,+28.221, +2.949,+1.003
1512691020,+3.51,+28.221, +2.934,+1.003
1512691620,+3.51,+28.230, +3.381,+1.002
1512692220,+3.52,+28.179, +2.924,+1.002
1512692820,+3.51,+28.204, +2.783,+1.003
1512693420,+3.51,+28.179, +2.654,+1.003
1512694020,+3.51,+28.196, +2.798,+1.002
1512694620,+3.51,+28.213, +2.912,+1.003
1512695220,+3.52,+28.196, +2.961,+1.002
1512695820,+3.51,+28.221, +3.113,+1.001
1512696420,+3.51,+28.213, +3.020,+1.002
1512697020,+3.52,+28.196, +3.021,+1.003
1512697620,+3.52,+28.256, +3.099,+1.003
1512698220,+3.52,+28.256, +3.103,+1.002
1512698820,+3.51,+28.247, +3.107,+1.002
1512699420,+3.51,+28.239, +3.197,+1.002
1512700020,+3.52,+28.247, +3.109,+1.002
1512700620,+3.52,+28.239, +3.157,+1.002
1512701220,+3.52,+28.290, +3.083,+1.001
1512701820,+3.52,+28.273, +3.177,+1.002
1512702420,+3.52,+28.290, +3.195,+1.002
1512703020,+3.52,+28.315, +3.280,+1.002
1512703620,+3.52,+28.333, +3.247,+1.002
1512704220,+3.52,+28.324, +3.456,+1.001
1512704820,+3.52,+28.375, +3.331,+1.001
1512705420,+3.52,+28.392, +3.187,+1.001
1512706020,+3.52,+28.410, +2.928,+1.002
1512706620,+3.51,+28.452, +3.056,+1.002
1512707220,+3.51,+28.444, +3.160,+1.000
1512707820,+3.52,+28.401, +2.993,+1.003
1512708420,+3.51,+28.469, +3.069,+1.002
1512709020,+3.52,+28.410, +3.067,+1.000
1512709620,+3.52,+28.487, +2.861,+1.001
1512710220,+3.52,+29.121, +3.588,+1.002
1512710820,+3.52,+29.327, +3.435,+1.001
1512711420,+3.52,+29.121, +3.045,+1.001
1512712020,+3.52,+29.061, +3.101,+1.002
1512712620,+3.52,+29.129, +3.204,+1.002
1512713220,+3.51,+29.138, +3.204,+1.003
1512713820,+3.52,+29.087, +3.246,+1.002
1512714420,+3.52,+28.778, +2.841,+1.002
1512715020,+3.52,+28.769, +2.874,+1.002
