7392-767066
OS REV: 1.11 Sensor Cal: 1498245175
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1513237620,+3.52,+29.628, +3.536,+0.999
1513238220,+3.52,+29.508, +3.571,+0.999
1513238820,+3.52,+29.362, +3.619,+0.999
1513239420,+3.52,+29.379, +3.571,+1.000
1513240020,+3.52,+29.465, +3.550,+1.000
1513240620,+3.52,+29.473, +3.336,+1.000
1513241220,+3.52,+29.801, +3.515,+1.000
1513241820,+3.52,+29.766, +3.556,+1.000
1513242420,+3.52,+29.559, +3.352,+1.000
1513243020,+3.52,+29.577, +3.366,+1.000
1513243620,+3.52,+29.508, +3.248,+1.000
1513244220,+3.52,+29.784, +3.397,+1.000
1513244820,+3.52,+29.818, +3.431,+1.000
1513245420,+3.52,+29.715, +3.313,+1.001
1513246020,+3.52,+29.740, +3.238,+1.001
1513246620,+3.52,+29.749, +3.159,+1.000
1513247220,+3.52,+29.784, +3.156,+1.000
1513247820,+3.52,+29.784, +3.040,+1.000
1513248420,+3.52,+29.809, +3.091,+1.000
1513249020,+3.52,+29.766, +2.649,+1.001
1513249620,+3.52,+29.732, +2.828,+1.000
1513250220,+3.52,+29.611, +2.969,+1.000
1513250820,+3.52,+29.559, +3.022,+0.999
1513251420,+3.52,+29.534, +3.028,+1.001
1513252020,+3.52,+29.448, +3.217,+1.001
1513252620,+3.52,+29.430, +2.937,+1.001
1513253220,+3.52,+29.448, +2.940,+1.000
1513253820,+3.52,+29.413, +3.292,+1.001
1513254420,+3.52,+29.491, +3.593,+1.000
1513255020,+3.52,+29.499, +3.446,+1.002
1513255620,+3.52,+29.551, +3.584,+1.001
1513256220,+3.52,+29.551, +3.707,+0.999
1513256820,+3.52,+29.568, +3.576,+1.000
1513257420,+3.52,+29.568, +3.598,+0.999
1513258020,+3.52,+29.551, +3.386,+1.000
1513258620,+3.52,+29.534, +3.271,+1.000
1513259220,+3.52,+29.499, +3.268,+1.000
1513259820,+3.52,+29.482, +3.250,+1.000
1513260420,+3.52,+29.448, +3.378,+1.000
1513261020,+3.52,+29.439, +3.275,+1.002
1513261620,+3.52,+29.448, +3.175,+1.000
1513262220,+3.52,+29.362, +3.146,+1.000
1513262820,+3.52,+29.422, +3.145,+1.000
1513263420,+3.52,+29.379, +3.175,+1.000
1513264020,+3.52,+29.336, +3.170,+1.000
1513264620,+3.52,+29.319, +3.091,+1.000
1513265220,+3.52,+29.276, +3.095,+1.001
1513265820,+3.52,+29.258, +3.032,+1.001
1513266420,+3.52,+29.224, +3.088,+1.000
1513267020,+3.52,+29.207, +3.015,+1.000
1513267620,+3.52,+29.190, +2.885,+1.001
1513268220,+3.52,+29.181, +2.905,+1.000
1513268820,+3.52,+29.155, +2.891,+1.000
1513269420,+3.52,+29.164, +3.098,+1.000
1513270020,+3.52,+29.138, +3.239,+1.000
1513270620,+3.52,+29.112, +3.165,+1.001
1513271220,+3.52,+29.095, +3.059,+1.001
1513271820,+3.52,+29.087, +3.049,+1.001
1513272420,+3.52,+29.087, +2.998,+1.000
1513273020,+3.52,+29.095, +3.186,+1.000
1513273620,+3.52,+29.095, +2.912,+1.000
1513274220,+3.52,+29.061, +3.166,+1.001
1513274820,+3.52,+29.044, +3.010,+1.001
1513275420,+3.52,+29.026, +2.857,+1.001
1513276020,+3.52,+29.001, +3.002,+1.001
1513276620,+3.52,+29.009, +2.696,+1.001
1513277220,+3.52,+28.975, +2.744,+1.001
1513277820,+3.52,+29.001, +2.906,+1.001
1513278420,+3.52,+28.984, +2.623,+1.001
1513279020,+3.52,+28.966, +2.615,+1.002
1513279620,+3.52,+28.975, +2.596,+1.001
1513280220,+3.52,+28.966, +2.537,+1.001
1513280820,+3.52,+28.958, +2.621,+1.001
1513281420,+3.52,+28.958, +2.388,+1.002
1513282020,+3.52,+28.949, +2.471,+1.000
1513282620,+3.52,+28.949, +2.688,+1.001
1513283220,+3.52,+28.932, +3.118,+1.001
1513283820,+3.52,+28.923, +3.009,+1.000
1513284420,+3.52,+28.923, +2.932,+1.001
1513285020,+3.52,+28.915, +3.035,+1.000
1513285620,+3.52,+28.898, +2.880,+1.001
1513286220,+3.52,+28.915, +3.073,+1.001
1513286820,+3.52,+28.915, +3.169,+1.000
1513287420,+3.52,+28.915, +3.125,+1.002
1513288020,+3.52,+28.906, +3.108,+1.001
1513288620,+3.52,+28.889, +3.058,+1.001
1513289220,+3.52,+28.915, +3.155,+1.001
1513289820,+3.52,+28.906, +3.221,+1.002
1513290420,+3.52,+28.906, +3.143,+1.001
1513291020,+3.52,+28.881, +3.235,+1.001
1513291620,+3.52,+28.898, +3.131,+1.000
1513292220,+3.52,+28.915, +3.122,+1.000
1513292820,+3.52,+28.906, +2.995,+1.001
1513293420,+3.52,+28.906, +3.161,+1.001
1513294020,+3.52,+28.889, +3.142,+1.001
1513294620,+3.52,+28.889, +3.144,+1.001
1513295220,+3.52,+28.889, +3.088,+1.001
1513295820,+3.52,+28.881, +3.071,+1.001
1513296420,+3.52,+28.898, +3.297,+1.000
1513297020,+3.52,+28.872, +3.142,+1.001
1513297620,+3.52,+28.863, +3.203,+1.001
1513298220,+3.52,+28.846, +3.188,+1.000
1513298820,+3.52,+28.838, +3.043,+1.001
1513299420,+3.52,+28.829, +3.126,+1.000
1513300020,+3.52,+28.829, +3.104,+1.001
1513300620,+3.52,+28.812, +3.074,+1.001
1513301220,+3.52,+28.829, +3.012,+1.001
1513301820,+3.52,+28.812, +3.160,+1.001
1513302420,+3.52,+28.821, +3.076,+1.001
1513303020,+3.52,+28.812, +3.074,+1.001
1513303620,+3.52,+28.821, +3.129,+1.000
1513304220,+3.52,+28.812, +3.078,+1.001
1513304820,+3.52,+28.803, +3.096,+1.002
1513305420,+3.52,+28.838, +2.957,+1.001
1513306020,+3.52,+28.821, +2.895,+1.001
1513306620,+3.52,+28.829, +2.857,+1.000
1513307220,+3.52,+28.846, +3.087,+1.001
1513307820,+3.52,+28.846, +2.959,+1.001
1513308420,+3.52,+28.872, +3.100,+1.000
1513309020,+3.52,+28.881, +2.977,+1.002
1513309620,+3.52,+28.898, +3.002,+1.001
1513310220,+3.52,+28.898, +3.058,+1.001
1513310820,+3.52,+28.941, +3.067,+1.000
1513311420,+3.52,+28.975, +3.267,+1.001
1513312020,+3.52,+28.992, +3.136,+1.000
1513312620,+3.52,+29.018, +2.987,+1.000
1513313220,+3.52,+29.044, +3.255,+1.001
1513313820,+3.52,+29.018, +2.924,+1.000
1513314420,+3.52,+29.095, +3.086,+1.001
1513315020,+3.52,+29.121, +2.909,+1.000
1513315620,+3.52,+29.129, +2.943,+1.000
1513316220,+3.52,+29.224, +3.026,+1.000
1513316820,+3.52,+29.215, +2.898,+1.000
1513317420,+3.52,+29.241, +2.744,+1.000
1513318020,+3.52,+29.413, +3.128,+1.002
1513318620,+3.52,+29.405, +2.971,+1.001
1513319220,+3.52,+29.516, +3.132,+1.001
1513319820,+3.52,+29.542, +2.876,+1.000
1513320420,+3.52,+29.568, +2.799,+1.000
1513321020,+3.52,+29.715, +2.790,+1.001
1513321620,+3.52,+29.844, +2.912,+1.001
1513322220,+3.52,+29.758, +2.819,+1.001
1513322820,+3.52,+29.663, +2.842,+1.000
1513323420,+3.52,+29.853, +2.757,+1.000
1513324020,+3.52,+30.043, +3.031,+1.001
