7392-767066
OS REV: 1.11 Sensor Cal: 1498245175
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1513193220,+3.52,+29.009, +2.868,+1.001
1513193820,+3.52,+29.001, +3.337,+1.001
1513194420,+3.52,+29.018, +3.358,+1.001
1513195020,+3.52,+29.018, +3.049,+1.001
1513195620,+3.52,+29.001, +3.333,+1.000
1513196220,+3.52,+29.018, +3.327,+1.001
1513196820,+3.52,+28.992, +3.222,+1.000
1513197420,+3.52,+28.975, +3.087,+1.001
1513198020,+3.52,+28.984, +2.973,+1.001
1513198620,+3.52,+29.018, +3.264,+1.000
1513199220,+3.52,+28.975, +2.997,+1.001
1513199820,+3.52,+28.992, +3.362,+1.000
1513200420,+3.52,+28.984, +3.369,+1.000
1513201020,+3.52,+28.992, +3.324,+1.000
1513201620,+3.52,+28.984, +3.334,+1.001
1513202220,+3.52,+29.001, +3.544,+0.999
1513202820,+3.52,+29.001, +3.444,+1.000
1513203420,+3.52,+28.992, +3.322,+1.001
1513204020,+3.52,+28.984, +3.336,+1.000
1513204620,+3.52,+28.984, +3.441,+0.999
1513205220,+3.52,+28.966, +3.515,+1.000
1513205820,+3.52,+28.958, +3.480,+1.000
1513206420,+3.52,+28.932, +3.315,+1.001
1513207020,+3.52,+28.941, +3.271,+1.001
1513207620,+3.52,+28.923, +3.517,+1.000
1513208220,+3.52,+28.941, +3.360,+1.001
1513208820,+3.52,+28.923, +3.350,+1.000
1513209420,+3.52,+28.923, +3.407,+0.999
1513210020,+3.52,+28.923, +3.403,+0.999
1513210620,+3.52,+28.923, +3.172,+1.000
1513211220,+3.52,+28.932, +3.249,+1.001
1513211820,+3.52,+28.915, +3.359,+1.000
1513212420,+3.52,+28.923, +3.419,+1.001
1513213020,+3.52,+28.906, +3.314,+1.000
1513213620,+3.52,+28.932, +3.280,+1.000
1513214220,+3.52,+28.932, +3.451,+1.001
1513214820,+3.52,+28.932, +3.370,+1.000
1513215420,+3.52,+28.923, +3.372,+1.000
1513216020,+3.52,+28.932, +3.369,+1.000
1513216620,+3.52,+28.932, +2.924,+1.000
1513217220,+3.52,+28.949, +3.317,+1.000
1513217820,+3.52,+28.958, +3.183,+1.001
1513218420,+3.52,+28.941, +3.325,+1.001
1513219020,+3.52,+28.958, +3.249,+1.000
1513219620,+3.52,+28.966, +2.928,+1.000
1513220220,+3.52,+28.941, +2.973,+1.000
1513220820,+3.52,+28.966, +3.165,+1.000
1513221420,+3.52,+28.992, +3.243,+1.000
1513222020,+3.52,+28.984, +3.366,+1.000
1513222620,+3.52,+28.992, +3.421,+1.001
1513223220,+3.52,+29.001, +3.448,+1.001
1513223820,+3.52,+29.009, +3.575,+1.000
1513224420,+3.52,+29.001, +3.286,+1.001
1513225020,+3.52,+29.035, +3.355,+1.000
1513225620,+3.52,+29.009, +3.262,+1.000
1513226220,+3.52,+29.001, +3.220,+1.001
1513226820,+3.52,+29.026, +3.205,+1.001
1513227420,+3.52,+29.026, +3.110,+1.000
1513228020,+3.52,+29.035, +3.154,+1.001
1513228620,+3.52,+29.087, +2.879,+1.000
1513229220,+3.52,+29.293, +3.276,+1.000
1513229820,+3.52,+29.258, +3.254,+1.001
1513230420,+3.52,+29.439, +3.469,+1.000
1513231020,+3.52,+29.258, +3.178,+1.000
1513231620,+3.52,+29.620, +3.510,+1.000
1513232220,+3.52,+29.628, +3.483,+1.000
1513232820,+3.52,+29.499, +3.464,+1.000
1513233420,+3.52,+29.413, +3.294,+1.001
1513234020,+3.52,+29.344, +3.429,+1.000
1513234620,+3.52,+29.353, +3.527,+1.000
1513235220,+3.52,+29.344, +3.490,+1.000
1513235820,+3.52,+29.499, +3.337,+1.000
1513236420,+3.52,+29.542, +3.155,+1.000
1513237020,+3.52,+29.482, +3.325,+1.001
