7392-767066
OS REV: 1.11 Sensor Cal: 1498245175
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1513150620,+3.52,+29.723, +3.951,+1.001
1513151220,+3.52,+29.689, +3.753,+0.999
1513151820,+3.52,+29.577, +3.539,+1.000
1513152420,+3.52,+29.577, +3.671,+0.999
1513153020,+3.52,+29.559, +3.424,+1.000
1513153620,+3.52,+29.611, +3.280,+1.001
1513154220,+3.52,+29.637, +2.821,+1.002
1513154820,+3.52,+29.715, +3.364,+0.999
1513155420,+3.52,+29.758, +3.290,+1.000
1513156020,+3.52,+29.654, +3.414,+1.000
1513156620,+3.52,+29.706, +3.492,+1.000
1513157220,+3.52,+29.577, +3.167,+1.001
1513157820,+3.52,+29.732, +3.189,+1.001
1513158420,+3.52,+29.689, +3.071,+1.000
1513159020,+3.52,+29.706, +3.013,+1.001
1513159620,+3.52,+29.749, +3.083,+1.000
1513160220,+3.52,+29.835, +3.321,+0.999
1513160820,+3.52,+29.853, +3.132,+1.000
1513161420,+3.52,+29.870, +3.145,+1.000
1513162020,+3.52,+29.870, +3.273,+1.000
1513162620,+3.52,+29.861, +3.049,+1.001
1513163220,+3.52,+29.870, +3.201,+1.002
1513163820,+3.52,+29.801, +3.620,+1.002
1513164420,+3.52,+29.749, +3.614,+1.001
1513165020,+3.52,+29.697, +3.701,+0.999
1513165620,+3.52,+29.680, +3.701,+0.999
1513166220,+3.52,+29.646, +3.857,+0.999
1513166820,+3.52,+29.637, +3.854,+1.000
1513167420,+3.52,+29.594, +3.766,+1.000
1513168020,+3.52,+29.542, +3.678,+0.999
1513168620,+3.52,+29.482, +3.613,+1.000
1513169220,+3.52,+29.448, +3.374,+1.000
1513169820,+3.52,+29.413, +3.491,+0.999
1513170420,+3.52,+29.370, +3.422,+1.001
1513171020,+3.52,+29.370, +3.381,+1.001
1513171620,+3.52,+29.353, +3.347,+1.000
1513172220,+3.52,+29.353, +3.341,+1.000
1513172820,+3.52,+29.344, +3.384,+1.000
1513173420,+3.52,+29.336, +3.423,+1.000
1513174020,+3.52,+29.336, +3.421,+1.001
1513174620,+3.52,+29.362, +3.349,+1.000
1513175220,+3.52,+29.327, +3.413,+1.000
1513175820,+3.52,+29.344, +3.452,+1.001
1513176420,+3.52,+29.344, +3.449,+1.000
1513177020,+3.52,+29.327, +3.557,+1.000
1513177620,+3.52,+29.336, +3.590,+0.999
1513178220,+3.52,+29.310, +3.500,+1.000
1513178820,+3.52,+29.327, +3.464,+1.000
1513179420,+3.52,+29.310, +3.490,+1.000
1513180020,+3.52,+29.276, +3.256,+1.001
1513180620,+3.52,+29.301, +3.380,+1.001
1513181220,+3.52,+29.267, +3.337,+1.000
1513181820,+3.52,+29.250, +3.488,+1.000
1513182420,+3.52,+29.233, +3.446,+1.001
1513183020,+3.52,+29.241, +3.389,+1.001
1513183620,+3.52,+29.215, +3.420,+1.000
1513184220,+3.52,+29.190, +3.477,+1.000
1513184820,+3.52,+29.172, +3.366,+1.000
1513185420,+3.52,+29.121, +3.385,+1.000
1513186020,+3.52,+29.155, +3.414,+1.000
1513186620,+3.52,+29.112, +3.257,+1.001
1513187220,+3.52,+29.095, +3.350,+1.000
1513187820,+3.52,+29.078, +3.295,+1.000
1513188420,+3.52,+29.069, +3.256,+1.001
1513189020,+3.52,+29.061, +3.298,+1.000
1513189620,+3.52,+29.035, +3.226,+1.000
1513190220,+3.52,+29.026, +3.138,+1.001
1513190820,+3.52,+29.035, +3.355,+1.001
1513191420,+3.52,+29.044, +3.144,+1.001
1513192020,+3.52,+29.018, +3.159,+1.000
1513192620,+3.52,+29.001, +2.956,+1.001
