7392-767066
OS REV: 1.11 Sensor Cal: 1498245175
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1512889620,+3.52,+29.749, +3.979,+0.999
1512890220,+3.52,+29.654, +3.852,+1.000
1512890820,+3.52,+29.697, +3.956,+1.000
1512891420,+3.52,+29.939, +3.940,+1.000
1512892020,+3.52,+29.948, +3.797,+1.000
1512892620,+3.52,+29.982, +3.759,+1.000
1512893220,+3.52,+29.620, +3.447,+1.001
1512893820,+3.52,+29.603, +3.556,+1.000
1512894420,+3.52,+29.706, +3.707,+1.000
1512895020,+3.52,+29.766, +3.694,+1.000
1512895620,+3.52,+29.930, +3.639,+1.000
1512896220,+3.52,+30.043, +3.457,+1.000
1512896820,+3.52,+29.809, +3.609,+1.000
1512897420,+3.52,+29.740, +3.570,+1.001
1512898020,+3.52,+29.697, +3.644,+1.000
1512898620,+3.52,+29.775, +3.540,+1.000
1512899220,+3.52,+29.801, +3.530,+1.000
1512899820,+3.52,+29.766, +3.503,+1.000
1512900420,+3.52,+29.758, +3.713,+0.999
1512901020,+3.52,+29.766, +3.674,+0.999
1512901620,+3.52,+29.740, +3.726,+1.000
1512902220,+3.52,+29.715, +3.777,+0.999
1512902820,+3.52,+29.732, +3.899,+1.000
1512903420,+3.52,+29.706, +3.850,+0.999
1512904020,+3.52,+29.732, +3.928,+1.000
1512904620,+3.52,+29.723, +3.964,+1.000
1512905220,+3.52,+29.723, +3.837,+1.000
1512905820,+3.52,+29.723, +3.642,+1.000
1512906420,+3.52,+29.689, +3.710,+1.000
1512907020,+3.52,+29.646, +3.670,+1.000
1512907620,+3.52,+29.611, +3.627,+0.999
1512908220,+3.52,+29.534, +3.688,+1.000
1512908820,+3.52,+29.499, +3.588,+0.999
1512909420,+3.52,+29.473, +3.481,+1.000
1512910020,+3.52,+29.430, +3.568,+0.999
1512910620,+3.52,+29.413, +3.661,+1.000
1512911220,+3.52,+29.353, +3.536,+1.001
1512911820,+3.52,+29.396, +3.493,+1.000
1512912420,+3.52,+29.387, +3.560,+1.001
1512913020,+3.52,+29.396, +3.372,+1.000
1512913620,+3.52,+29.387, +3.315,+1.001
1512914220,+3.52,+29.353, +3.346,+1.001
1512914820,+3.52,+29.353, +3.433,+1.001
1512915420,+3.52,+29.344, +3.346,+1.001
1512916020,+3.52,+29.344, +3.104,+1.001
1512916620,+3.52,+29.327, +3.337,+1.001
1512917220,+3.52,+29.301, +3.486,+1.000
1512917820,+3.52,+29.310, +3.418,+1.001
1512918420,+3.52,+29.301, +3.373,+1.001
1512919020,+3.52,+29.301, +3.296,+1.000
1512919620,+3.52,+29.293, +3.462,+1.000
1512920220,+3.52,+29.310, +3.445,+1.000
1512920820,+3.52,+29.293, +3.420,+1.001
1512921420,+3.52,+29.276, +3.354,+1.002
1512922020,+3.52,+29.224, +3.403,+1.000
1512922620,+3.52,+29.233, +3.624,+1.001
1512923220,+3.52,+29.224, +3.733,+1.001
1512923820,+3.52,+29.233, +3.645,+1.001
1512924420,+3.52,+29.241, +3.590,+1.000
1512925020,+3.52,+29.267, +3.571,+1.001
1512925620,+3.52,+29.224, +3.444,+1.000
1512926220,+3.52,+29.241, +3.434,+1.000
1512926820,+3.52,+29.233, +3.354,+1.001
1512927420,+3.52,+29.224, +3.331,+1.001
1512928020,+3.52,+29.215, +3.385,+1.000
1512928620,+3.52,+29.233, +3.303,+1.001
1512929220,+3.52,+29.224, +3.392,+0.999
1512929820,+3.52,+29.224, +3.224,+1.000
1512930420,+3.52,+29.172, +3.223,+1.001
1512931020,+3.52,+29.215, +3.376,+1.000
1512931620,+3.52,+29.198, +3.187,+1.001
1512932220,+3.52,+29.172, +3.153,+1.000
1512932820,+3.52,+29.172, +3.504,+1.000
1512933420,+3.52,+29.138, +3.428,+1.001
1512934020,+3.52,+29.138, +3.406,+1.001
1512934620,+3.52,+29.147, +3.287,+1.000
1512935220,+3.52,+29.155, +3.087,+1.001
1512935820,+3.52,+29.172, +3.195,+1.001
1512936420,+3.52,+29.129, +3.181,+1.000
1512937020,+3.52,+29.104, +3.121,+1.001
1512937620,+3.52,+29.121, +3.204,+1.001
1512938220,+3.52,+29.078, +3.085,+1.002
1512938820,+3.52,+29.061, +3.243,+1.001
1512939420,+3.52,+29.069, +3.125,+1.001
1512940020,+3.52,+29.052, +3.477,+0.999
1512940620,+3.52,+29.069, +3.270,+1.000
