2017,12,7,12,30,  0.51        28.51
2017,12,7,12,35,  0.52        28.51
2017,12,7,12,40,  0.52        28.51
2017,12,7,12,45,  0.52        28.51
2017,12,7,12,50,  0.53        28.51
2017,12,7,12,55,  0.54        28.51
2017,12,7,13,0,  0.55        28.51
2017,12,7,13,5,  0.56        28.51
2017,12,7,13,10,  0.53        28.51
2017,12,7,13,15,  0.53        28.41
2017,12,7,13,20,  0.55        28.41
2017,12,7,13,25,  0.57        28.41
2017,12,7,13,30,  0.55        28.41
2017,12,7,13,35,  0.58        28.41
2017,12,7,13,40,  0.55        28.41
2017,12,7,13,45,  0.56        28.32
2017,12,7,13,50,  0.58        28.41
2017,12,7,13,55,  0.63        28.41
2017,12,7,14,0,  0.64        28.41
2017,12,7,14,5,  0.64        28.41
2017,12,7,14,10,  0.63        28.41
2017,12,7,14,15,  0.64        28.41
2017,12,7,14,20,  0.66        28.41
2017,12,7,14,25,  0.56        28.32
2017,12,7,14,30,  0.54        28.32
2017,12,7,14,35,  0.54        28.32
2017,12,7,14,40,  0.57        28.41
2017,12,7,14,45,  0.60        28.32
2017,12,7,14,50,  0.61        28.32
2017,12,7,14,55,  0.62        28.32
2017,12,7,15,0,  0.66        28.32
2017,12,7,15,5,  0.65        28.41
2017,12,7,15,10,  0.64        28.32
2017,12,7,15,15,  0.68        28.32
2017,12,7,15,20,  0.62        28.32
2017,12,7,15,25,  0.65        28.32
2017,12,7,15,30,  0.69        28.32
2017,12,7,15,35,  0.59        28.32
2017,12,7,15,40,  0.63        28.32
2017,12,7,15,45,  0.60        28.32
2017,12,7,15,50,  0.65        28.32
2017,12,7,15,55,  0.67        28.32
2017,12,7,16,0,  0.66        28.32
2017,12,7,16,5,  0.69        28.32
2017,12,7,16,10,  0.70        28.32
2017,12,7,16,15,  0.69        28.32
2017,12,7,16,20,  0.72        28.32
2017,12,7,16,25,  0.71        28.32
2017,12,7,16,30,  0.72        28.32
2017,12,7,16,35,  0.69        28.32
2017,12,7,16,40,  0.70        28.32
2017,12,7,16,45,  0.72        28.32
2017,12,7,16,50,  0.72        28.32
2017,12,7,16,55,  0.73        28.32
2017,12,7,17,0,  0.74        28.32
2017,12,7,17,5,  0.76        28.32
2017,12,7,17,10,  0.62        28.32
2017,12,7,17,15,  0.61        28.32
2017,12,7,17,20,  0.67        28.32
2017,12,7,17,25,  0.72        28.32
2017,12,7,17,30,  0.72        28.32
2017,12,7,17,35,  0.71        28.32
2017,12,7,17,40,  0.74        28.32
2017,12,7,17,45,  0.75        28.32
2017,12,7,17,50,  0.74        28.32
2017,12,7,17,55,  0.75        28.32
2017,12,7,18,0,  0.76        28.32
2017,12,7,18,5,  0.76        28.32
2017,12,7,18,10,  0.80        28.32
2017,12,7,18,15,  0.79        28.32
2017,12,7,18,20,  0.79        28.32
2017,12,7,18,25,  0.77        28.32
2017,12,7,18,30,  0.80        28.32
2017,12,7,18,35,  0.80        28.32
2017,12,7,18,40,  0.81        28.32
2017,12,7,18,45,  0.81        28.32
2017,12,7,18,50,  0.81        28.32
2017,12,7,18,55,  0.81        28.32
2017,12,7,19,0,  0.82        28.32
2017,12,7,19,5,  0.79        28.32
2017,12,7,19,10,  0.79        28.23
2017,12,7,19,15,  0.79        28.32
2017,12,7,19,20,  0.80        28.32
2017,12,7,19,25,  0.77        28.23
2017,12,7,19,30,  0.81        28.32
2017,12,7,19,35,  0.81        28.23
2017,12,7,19,40,  0.80        28.23
2017,12,7,19,45,  0.83        28.23
2017,12,7,19,50,  0.83        28.14
2017,12,7,19,55,  0.76        28.23
2017,12,7,20,0,  0.83        28.23
2017,12,7,20,5,  0.76        28.23
2017,12,7,20,10,  0.81        28.23
2017,12,7,20,15,  0.79        28.23
2017,12,7,20,20,  0.82        28.14
2017,12,7,20,25,  0.80        28.23
2017,12,7,20,30,  0.84        28.23
2017,12,7,20,35,  0.83        28.23
2017,12,7,20,40,  0.83        28.23
2017,12,7,20,45,  0.93        28.23
2017,12,7,20,50,  1.53        28.23
2017,12,7,20,55,  1.88        28.23
2017,12,7,21,0,  2.56        27.96
2017,12,7,21,5,  0.93        27.78
2017,12,7,21,10,  1.88        27.42
2017,12,7,21,15,  2.31        27.33
2017,12,7,21,20,  4.31        27.42
2017,12,7,21,25,  3.08        27.33
2017,12,7,21,30,  2.86        27.23
2017,12,7,21,35,  1.45        27.14
2017,12,7,21,40,  0.77        27.23
2017,12,7,21,45,  0.78        27.14
2017,12,7,21,50,  0.77        26.96
2017,12,7,21,55,  0.79        26.96
2017,12,7,22,0,  0.76        26.96
2017,12,7,22,5,  0.79        26.96
2017,12,7,22,10,  0.81        26.87
2017,12,7,22,15,  0.80        26.96
2017,12,7,22,20,  0.93        26.96
2017,12,7,22,25,  1.96        27.05
2017,12,7,22,30,  0.80        27.23
2017,12,7,22,35,  0.80        27.69
2017,12,7,22,40,  0.81        28.14
2017,12,7,22,45,  0.81        28.23
2017,12,7,22,50,  0.83        28.23
2017,12,7,22,55,  0.76        28.32
2017,12,7,23,0,  1.36        28.23
2017,12,7,23,5,  1.45        28.32
2017,12,7,23,10,  1.88        28.32
2017,12,7,23,15,  1.45        28.14
2017,12,7,23,20,  2.22        28.32
2017,12,7,23,25,  2.39        28.23
2017,12,7,23,30,  2.05        28.23
2017,12,7,23,35,  3.34        28.14
2017,12,7,23,40,  2.05        28.14
2017,12,7,23,45,  2.05        28.23
2017,12,7,23,50,  2.22        28.32
2017,12,7,23,55,  2.22        28.23
2017,12,8,0,0,  1.96        28.23
2017,12,8,0,5,  1.70        28.23
2017,12,8,0,10,  1.19        28.23
2017,12,8,0,15,  0.83        28.23
2017,12,8,0,20,  0.83        28.23
2017,12,8,0,25,  0.83        28.23
2017,12,8,0,30,  0.76        28.23
2017,12,8,0,35,  1.10        28.23
2017,12,8,0,40,  1.19        28.23
2017,12,8,0,45,  1.45        28.23
2017,12,8,0,50,  0.84        28.23
2017,12,8,0,55,  1.02        28.23
2017,12,8,1,0,  0.83        28.23
2017,12,8,1,5,  0.63        28.23
2017,12,8,1,10,  0.74        28.23
2017,12,8,1,15,  0.80        28.23
2017,12,8,1,20,  0.83        28.23
2017,12,8,1,25,  0.83        28.23
2017,12,8,1,30,  0.82        28.23
2017,12,8,1,35,  0.83        28.23
2017,12,8,1,40,  0.81        28.23
2017,12,8,1,45,  0.83        28.23
2017,12,8,1,50,  1.19        28.23
2017,12,8,1,55,  0.76        28.23
2017,12,8,2,0,  0.75        28.23
2017,12,8,2,5,  0.78        28.23
2017,12,8,2,10,  0.81        28.23
2017,12,8,2,15,  0.71        28.23
2017,12,8,2,20,  0.72        28.23
2017,12,8,2,25,  0.79        28.23
2017,12,8,2,30,  0.84        28.23
2017,12,8,2,35,  0.76        28.23
2017,12,8,2,40,  0.83        28.23
2017,12,8,2,45,  0.84        28.23
2017,12,8,2,50,  1.45        28.23
2017,12,8,2,55,  1.88        28.23
2017,12,8,3,0,  1.27        28.23
2017,12,8,3,5,  0.84        28.23
2017,12,8,3,10,  0.81        28.23
2017,12,8,3,15,  0.74        28.23
2017,12,8,3,20,  0.77        28.32
2017,12,8,3,25,  0.82        28.32
2017,12,8,3,30,  0.82        28.32
2017,12,8,3,35,  0.79        28.32
2017,12,8,3,40,  0.75        28.32
2017,12,8,3,45,  0.69        28.32
2017,12,8,3,50,  0.65        28.32
2017,12,8,3,55,  0.72        28.32
2017,12,8,4,0,  0.66        28.32
2017,12,8,4,5,  0.67        28.32
2017,12,8,4,10,  0.68        28.32
2017,12,8,4,15,  0.70        28.32
2017,12,8,4,20,  0.74        28.32
2017,12,8,4,25,  0.76        28.41
2017,12,8,4,30,  0.74        28.32
2017,12,8,4,35,  0.67        28.32
2017,12,8,4,40,  0.71        28.41
2017,12,8,4,45,  0.77        28.41
2017,12,8,4,50,  0.83        28.41
2017,12,8,4,55,  0.84        28.41
2017,12,8,5,0,  1.27        28.51
2017,12,8,5,5,  1.19        28.51
2017,12,8,5,10,  0.84        28.41
2017,12,8,5,15,  0.83        28.60
2017,12,8,5,20,  2.39        28.51
2017,12,8,5,25,  0.93        28.51
2017,12,8,5,30,  1.10        28.51
2017,12,8,5,35,  0.84        28.69
2017,12,8,5,40,  0.83        28.60
2017,12,8,5,45,  1.45        28.60
2017,12,8,5,50,  0.83        28.41
2017,12,8,5,55,  0.79        28.51
2017,12,8,6,0,  1.19        28.51
2017,12,8,6,5,  0.82        28.51
2017,12,8,6,10,  0.84        28.41
2017,12,8,6,15,  0.61        29.24
2017,12,8,6,20,  0.64        29.52
2017,12,8,6,25,  0.74        29.52
2017,12,8,6,30,  0.80        29.24
2017,12,8,6,35,  0.82        29.33
2017,12,8,6,40,  0.79        29.15
2017,12,8,6,45,  0.74        29.15
2017,12,8,6,50,  0.81        29.24
2017,12,8,6,55,  0.82        29.15
2017,12,8,7,0,  0.75        29.15
2017,12,8,7,5,  0.72        29.24
2017,12,8,7,10,  0.70        29.06
2017,12,8,7,15,  0.77        29.24
2017,12,8,7,20,  0.82        29.06
2017,12,8,7,25,  1.53        28.87
2017,12,8,7,30,  1.27        29.33
2017,12,8,7,35,  1.96        29.24
2017,12,8,7,40,  2.13        29.06
2017,12,8,7,45,  0.80        28.78
2017,12,8,7,50,  0.82        28.87
2017,12,8,7,55,  1.36        28.78
2017,12,8,8,0,  2.31        28.87
2017,12,8,8,5,  2.13        28.78
2017,12,8,8,10,  2.74        28.87
2017,12,8,8,15,  2.05        28.96
2017,12,8,8,20,  1.79        29.06
2017,12,8,8,25,  2.39        28.96
2017,12,8,8,30,  1.19        28.87
2017,12,8,8,35,  1.36        28.87
2017,12,8,8,40,  1.36        28.96
2017,12,8,8,45,  0.77        28.87
2017,12,8,8,50,  0.81        28.87
2017,12,8,8,55,  1.62        28.78
2017,12,8,9,0,  2.05        28.96
2017,12,8,9,5,  0.76        28.87
2017,12,8,9,10,  0.80        29.15
2017,12,8,9,15,  0.78        29.24
2017,12,8,9,20,  0.82        29.24
2017,12,8,9,25,  1.19        29.33
2017,12,8,9,30,  1.53        29.15
2017,12,8,9,35,  1.10        29.15
2017,12,8,9,40,  0.83        29.24
2017,12,8,9,45,  0.77        29.15
2017,12,8,9,50,  0.83        29.33
2017,12,8,9,55,  0.79        29.52
2017,12,8,10,0,  0.78        29.42
2017,12,8,10,5,  0.79        29.33
2017,12,8,10,10,  0.72        29.24
2017,12,8,10,15,  0.77        29.15
2017,12,8,10,20,  0.78        29.15
2017,12,8,10,25,  0.77        29.06
2017,12,8,10,30,  0.76        29.06
2017,12,8,10,35,  0.78        29.06
2017,12,8,10,40,  0.78        29.06
2017,12,8,10,45,  0.75        29.06
2017,12,8,10,50,  0.68        29.06
2017,12,8,10,55,  0.72        29.15
2017,12,8,11,0,  0.75        29.15
2017,12,8,11,5,  0.74        29.15
2017,12,8,11,10,  0.76        29.15
2017,12,8,11,15,  0.76        29.15
2017,12,8,11,20,  0.79        29.15
2017,12,8,11,25,  0.79        29.24
2017,12,8,11,30,  0.77        29.24
2017,12,8,11,35,  0.80        29.15
2017,12,8,11,40,  0.80        29.15
2017,12,8,11,45,  0.81        29.15
2017,12,8,11,50,  0.80        29.15
2017,12,8,11,55,  0.79        29.15
2017,12,8,12,0,  0.81        29.15
2017,12,8,12,5,  0.80        29.15
2017,12,8,12,10,  0.81        29.06
2017,12,8,12,15,  0.81        29.06
2017,12,8,12,20,  0.83        29.06
2017,12,8,12,25,  0.81        29.06
2017,12,8,12,30,  0.82        29.06
2017,12,8,12,35,  0.83        29.06
2017,12,8,12,40,  0.82        29.06
2017,12,8,12,45,  0.71        29.06
2017,12,8,12,50,  0.74        28.96
2017,12,8,12,55,  0.69        28.96
2017,12,8,13,0,  0.70        28.96
2017,12,8,13,5,  0.75        28.96
2017,12,8,13,10,  0.74        28.96
2017,12,8,13,15,  0.77        28.96
2017,12,8,13,20,  0.77        28.96
2017,12,8,13,25,  0.78        28.96
2017,12,8,13,30,  0.79        28.96
