mini_date,mini_time,mini_BV,mini_T,mini_DO,mini_Q,,arduino_date,arduino_time,arduino_Conduct,arduino_T,,
07/12/2017,17:17,3.51,28.315,3.227,1.001,,07/12/2017,12:45,0.52,28.51,,
07/12/2017,17:27,3.52,28.307,3.413,1.002,,07/12/2017,12:50,0.53,28.51,,
07/12/2017,17:37,3.51,28.333,3.244,1.001,,07/12/2017,12:55,0.54,28.51,,
07/12/2017,17:47,3.51,28.341,3.172,1.003,,07/12/2017,13:00,0.55,28.51,,
07/12/2017,17:57,3.51,28.35,3.29,1.003,,07/12/2017,13:05,0.56,28.51,,
07/12/2017,18:07,3.51,28.315,3.139,1.002,,07/12/2017,13:10,0.53,28.51,,
07/12/2017,18:17,3.51,28.29,3.204,1.002,,07/12/2017,13:15,0.53,28.41,,
07/12/2017,18:27,3.51,28.307,3.187,1.003,,07/12/2017,13:20,0.55,28.41,,
07/12/2017,18:37,3.51,28.281,2.991,1.003,,07/12/2017,13:25,0.57,28.41,,
07/12/2017,18:47,3.51,28.29,2.981,1.003,,07/12/2017,13:30,0.55,28.41,,
07/12/2017,18:57,3.52,28.273,2.868,1.003,,07/12/2017,13:35,0.58,28.41,,
07/12/2017,19:07,3.51,28.264,3.174,1.002,,07/12/2017,13:40,0.55,28.41,,
07/12/2017,19:17,3.51,28.264,3.094,1.002,,07/12/2017,13:45,0.56,28.32,,
07/12/2017,19:27,3.52,28.29,3.262,1.002,,07/12/2017,13:50,0.58,28.41,,
07/12/2017,19:37,3.52,28.281,3.028,1.003,,07/12/2017,13:55,0.63,28.41,,
07/12/2017,19:47,3.51,28.298,3.184,1.002,,07/12/2017,14:00,0.64,28.41,,
07/12/2017,19:57,3.51,28.307,2.995,1.002,,07/12/2017,14:05,0.64,28.41,,
07/12/2017,20:07,3.51,28.307,3.022,1.003,,07/12/2017,14:10,0.63,28.41,,
07/12/2017,20:17,3.51,28.298,2.955,1.002,,07/12/2017,14:15,0.64,28.41,,
07/12/2017,20:27,3.51,28.298,3.149,1.003,,07/12/2017,14:20,0.66,28.41,,
07/12/2017,20:37,3.51,28.324,3.089,1.002,,07/12/2017,14:25,0.56,28.32,,
07/12/2017,20:47,3.51,28.298,2.995,1.002,,07/12/2017,14:30,0.54,28.32,,
07/12/2017,20:57,3.51,28.324,2.949,1.003,,07/12/2017,14:35,0.54,28.32,,
07/12/2017,21:07,3.51,28.315,2.944,1.003,,07/12/2017,14:40,0.57,28.41,,
07/12/2017,21:17,3.52,28.333,3.001,1.002,,07/12/2017,14:45,0.6,28.32,,
07/12/2017,21:27,3.51,28.341,2.984,1.003,,07/12/2017,14:50,0.61,28.32,,
07/12/2017,21:37,3.51,28.298,2.952,1.002,,07/12/2017,14:55,0.62,28.32,,
07/12/2017,21:47,3.51,28.324,3.028,1.003,,07/12/2017,15:00,0.66,28.32,,
07/12/2017,21:57,3.51,28.315,3.071,1.003,,07/12/2017,15:05,0.65,28.41,,
07/12/2017,22:07,3.51,28.333,3.055,1.002,,07/12/2017,15:10,0.64,28.32,,
07/12/2017,22:17,3.51,28.324,3.013,1.003,,07/12/2017,15:15,0.68,28.32,,
07/12/2017,22:27,3.52,28.281,2.969,1.002,,07/12/2017,15:20,0.62,28.32,,
07/12/2017,22:37,3.51,28.315,2.89,1.002,,07/12/2017,15:25,0.65,28.32,,
07/12/2017,22:47,3.51,28.29,2.799,1.002,,07/12/2017,15:30,0.69,28.32,,
07/12/2017,22:57,3.51,28.281,2.932,1.002,,07/12/2017,15:35,0.59,28.32,,
07/12/2017,23:07,3.52,28.247,2.857,1.002,,07/12/2017,15:40,0.63,28.32,,
07/12/2017,23:17,3.51,28.256,3.021,1.002,,07/12/2017,15:45,0.6,28.32,,
07/12/2017,23:27,3.51,28.239,2.848,1.003,,07/12/2017,15:50,0.65,28.32,,
07/12/2017,23:37,3.51,28.239,2.833,1.003,,07/12/2017,15:55,0.67,28.32,,
07/12/2017,23:47,3.51,28.221,2.949,1.003,,07/12/2017,16:00,0.66,28.32,,
07/12/2017,23:57,3.51,28.221,2.934,1.003,,07/12/2017,16:05,0.69,28.32,,
08/12/2017,0:07,3.51,28.23,3.381,1.002,,07/12/2017,16:10,0.7,28.32,,
08/12/2017,0:17,3.52,28.179,2.924,1.002,,07/12/2017,16:15,0.69,28.32,,
08/12/2017,0:27,3.51,28.204,2.783,1.003,,07/12/2017,16:20,0.72,28.32,,
08/12/2017,0:37,3.51,28.179,2.654,1.003,,07/12/2017,16:25,0.71,28.32,,
08/12/2017,0:47,3.51,28.196,2.798,1.002,,07/12/2017,16:30,0.72,28.32,,
08/12/2017,0:57,3.51,28.213,2.912,1.003,,07/12/2017,16:35,0.69,28.32,,
08/12/2017,1:07,3.52,28.196,2.961,1.002,,07/12/2017,16:40,0.7,28.32,,
08/12/2017,1:17,3.51,28.221,3.113,1.001,,07/12/2017,16:45,0.72,28.32,,
08/12/2017,1:27,3.51,28.213,3.02,1.002,,07/12/2017,16:50,0.72,28.32,,
08/12/2017,1:37,3.52,28.196,3.021,1.003,,07/12/2017,16:55,0.73,28.32,,
08/12/2017,1:47,3.52,28.256,3.099,1.003,,07/12/2017,17:00,0.74,28.32,,
08/12/2017,1:57,3.52,28.256,3.103,1.002,,07/12/2017,17:05,0.76,28.32,,
08/12/2017,2:07,3.51,28.247,3.107,1.002,,07/12/2017,17:10,0.62,28.32,,
08/12/2017,2:17,3.51,28.239,3.197,1.002,,07/12/2017,17:15,0.61,28.32,,
08/12/2017,2:27,3.52,28.247,3.109,1.002,,07/12/2017,17:20,0.67,28.32,,
08/12/2017,2:37,3.52,28.239,3.157,1.002,,07/12/2017,17:25,0.72,28.32,,
08/12/2017,2:47,3.52,28.29,3.083,1.001,,07/12/2017,17:30,0.72,28.32,,
08/12/2017,2:57,3.52,28.273,3.177,1.002,,07/12/2017,17:35,0.71,28.32,,
08/12/2017,3:07,3.52,28.29,3.195,1.002,,07/12/2017,17:40,0.74,28.32,,
08/12/2017,3:17,3.52,28.315,3.28,1.002,,07/12/2017,17:45,0.75,28.32,,
08/12/2017,3:27,3.52,28.333,3.247,1.002,,07/12/2017,17:50,0.74,28.32,,
08/12/2017,3:37,3.52,28.324,3.456,1.001,,07/12/2017,17:55,0.75,28.32,,
08/12/2017,3:47,3.52,28.375,3.331,1.001,,07/12/2017,18:00,0.76,28.32,,
08/12/2017,3:57,3.52,28.392,3.187,1.001,,07/12/2017,18:05,0.76,28.32,,
08/12/2017,4:07,3.52,28.41,2.928,1.002,,07/12/2017,18:10,0.8,28.32,,
08/12/2017,4:17,3.51,28.452,3.056,1.002,,07/12/2017,18:15,0.79,28.32,,
08/12/2017,4:27,3.51,28.444,3.16,1,,07/12/2017,18:20,0.79,28.32,,
08/12/2017,4:37,3.52,28.401,2.993,1.003,,07/12/2017,18:25,0.77,28.32,,
08/12/2017,4:47,3.51,28.469,3.069,1.002,,07/12/2017,18:30,0.8,28.32,,
08/12/2017,4:57,3.52,28.41,3.067,1,,07/12/2017,18:35,0.8,28.32,,
08/12/2017,5:07,3.52,28.487,2.861,1.001,,07/12/2017,18:40,0.81,28.32,,
08/12/2017,5:17,3.52,29.121,3.588,1.002,,07/12/2017,18:45,0.81,28.32,,
08/12/2017,5:27,3.52,29.327,3.435,1.001,,07/12/2017,18:50,0.81,28.32,,
08/12/2017,5:37,3.52,29.121,3.045,1.001,,07/12/2017,18:55,0.81,28.32,,
08/12/2017,5:47,3.52,29.061,3.101,1.002,,07/12/2017,19:00,0.82,28.32,,
08/12/2017,5:57,3.52,29.129,3.204,1.002,,07/12/2017,19:05,0.79,28.32,,
08/12/2017,6:07,3.51,29.138,3.204,1.003,,07/12/2017,19:10,0.79,28.23,,
08/12/2017,6:17,3.52,29.087,3.246,1.002,,07/12/2017,19:15,0.79,28.32,,
08/12/2017,6:27,3.52,28.778,2.841,1.002,,07/12/2017,19:20,0.8,28.32,,
08/12/2017,6:37,3.52,28.769,2.874,1.002,,07/12/2017,19:25,0.77,28.23,,
08/12/2017,6:47,3.52,28.735,3.238,1.001,,07/12/2017,19:30,0.81,28.32,,
08/12/2017,6:57,3.52,28.726,3.012,1.001,,07/12/2017,19:35,0.81,28.23,,
08/12/2017,7:07,3.52,28.683,2.906,1.002,,07/12/2017,19:40,0.8,28.23,,
08/12/2017,7:17,3.52,28.812,2.89,1.002,,07/12/2017,19:45,0.83,28.23,,
08/12/2017,7:27,3.52,28.786,2.874,1.002,,07/12/2017,19:50,0.83,28.14,,
08/12/2017,7:37,3.52,28.769,3.11,1.002,,07/12/2017,19:55,0.76,28.23,,
08/12/2017,7:47,3.52,28.812,2.905,1.002,,07/12/2017,20:00,0.83,28.23,,
08/12/2017,7:57,3.52,28.778,2.945,1.002,,07/12/2017,20:05,0.76,28.23,,
08/12/2017,8:07,3.52,28.803,3.077,1.002,,07/12/2017,20:10,0.81,28.23,,
08/12/2017,8:17,3.52,29.018,3.054,1.002,,07/12/2017,20:15,0.79,28.23,,
08/12/2017,8:27,3.52,29.19,2.861,1.003,,07/12/2017,20:20,0.82,28.14,,
08/12/2017,8:37,3.51,29.095,2.91,1.002,,07/12/2017,20:25,0.8,28.23,,
08/12/2017,8:47,3.52,29.147,3.057,1.002,,07/12/2017,20:30,0.84,28.23,,
08/12/2017,8:57,3.52,29.258,3.036,1.003,,07/12/2017,20:35,0.83,28.23,,
08/12/2017,9:07,3.52,29.258,2.967,1.002,,07/12/2017,20:40,0.83,28.23,,
08/12/2017,9:17,3.52,29.164,3.217,1.001,,07/12/2017,20:45,0.93,28.23,,
08/12/2017,9:27,3.52,29.044,3.371,1.002,,07/12/2017,20:50,1.53,28.23,,
08/12/2017,9:37,3.52,29.044,3.309,1.001,,07/12/2017,20:55,1.88,28.23,,
08/12/2017,9:47,3.52,29.052,3.334,1.002,,07/12/2017,21:00,2.56,27.96,,
08/12/2017,9:57,3.52,29.087,3.408,1.002,,07/12/2017,21:05,0.93,27.78,,
08/12/2017,10:07,3.52,29.138,3.332,1.001,,07/12/2017,21:10,1.88,27.42,,
08/12/2017,10:17,3.52,29.112,3.19,1.002,,07/12/2017,21:15,2.31,27.33,,
08/12/2017,10:27,3.52,29.164,3.353,1,,07/12/2017,21:20,4.31,27.42,,
08/12/2017,10:37,3.52,29.155,3.263,1.002,,07/12/2017,21:25,3.08,27.33,,
08/12/2017,10:47,3.52,29.129,3.184,1.002,,07/12/2017,21:30,2.86,27.23,,
08/12/2017,10:57,3.52,29.112,3.214,1.003,,07/12/2017,21:35,1.45,27.14,,
08/12/2017,11:07,3.52,29.087,3.151,1.002,,07/12/2017,21:40,0.77,27.23,,
08/12/2017,11:17,3.52,29.069,3.129,1.001,,07/12/2017,21:45,0.78,27.14,,
08/12/2017,11:27,3.52,29.052,3.107,1.002,,07/12/2017,21:50,0.77,26.96,,
08/12/2017,11:37,3.52,29.035,3.06,1.002,,07/12/2017,21:55,0.79,26.96,,
08/12/2017,11:47,3.52,29.009,3.359,1.002,,07/12/2017,22:00,0.76,26.96,,
08/12/2017,11:57,3.52,29.001,3.386,1.001,,07/12/2017,22:05,0.79,26.96,,
08/12/2017,12:07,3.52,28.992,3.258,1.001,,07/12/2017,22:10,0.81,26.87,,
08/12/2017,12:17,3.52,28.975,3.418,1.002,,07/12/2017,22:15,0.8,26.96,,
08/12/2017,12:27,3.52,28.984,3.131,1.002,,07/12/2017,22:20,0.93,26.96,,
08/12/2017,12:37,3.52,28.958,3.372,1.001,,07/12/2017,22:25,1.96,27.05,,
08/12/2017,12:47,3.52,28.949,3.43,1.001,,07/12/2017,22:30,0.8,27.23,,
08/12/2017,12:57,3.52,28.923,3.324,1.001,,07/12/2017,22:35,0.8,27.69,,
08/12/2017,13:07,3.52,28.923,3.134,1.001,,07/12/2017,22:40,0.81,28.14,,
08/12/2017,13:17,3.52,28.932,3.128,1.002,,07/12/2017,22:45,0.81,28.23,,
08/12/2017,13:27,3.52,28.923,3.233,1.002,,07/12/2017,22:50,0.83,28.23,,
08/12/2017,13:37,3.52,28.915,3.037,1.002,,07/12/2017,22:55,0.76,28.32,,
08/12/2017,13:47,3.52,28.923,3.047,1.003,,07/12/2017,23:00,1.36,28.23,,
08/12/2017,13:57,3.52,28.898,2.885,1.002,,07/12/2017,23:05,1.45,28.32,,
08/12/2017,14:07,3.52,28.881,2.789,1.001,,07/12/2017,23:10,1.88,28.32,,
08/12/2017,14:17,3.52,28.872,3.039,1.002,,07/12/2017,23:15,1.45,28.14,,
08/12/2017,14:27,3.52,28.863,2.847,1.001,,07/12/2017,23:20,2.22,28.32,,
08/12/2017,14:37,3.52,28.881,2.792,1.001,,07/12/2017,23:25,2.39,28.23,,
08/12/2017,14:47,3.52,28.872,2.756,1,,07/12/2017,23:30,2.05,28.23,,
08/12/2017,14:57,3.52,28.863,2.677,1.001,,07/12/2017,23:35,3.34,28.14,,
08/12/2017,15:07,3.52,28.872,3.158,1.002,,07/12/2017,23:40,2.05,28.14,,
08/12/2017,15:17,3.52,28.829,3.246,1.001,,07/12/2017,23:45,2.05,28.23,,
08/12/2017,15:27,3.52,28.821,3.149,1,,07/12/2017,23:50,2.22,28.32,,
08/12/2017,15:37,3.52,28.829,3.281,1.001,,07/12/2017,23:55,2.22,28.23,,
08/12/2017,15:47,3.52,28.846,3.12,1.001,,08/12/2017,00:00,1.96,28.23,,
08/12/2017,15:57,3.52,28.821,3.131,1,,08/12/2017,00:05,1.7,28.23,,
08/12/2017,16:07,3.52,28.821,2.99,1.002,,08/12/2017,00:10,1.19,28.23,,
08/12/2017,16:17,3.52,28.812,3.128,1.002,,08/12/2017,00:15,0.83,28.23,,
08/12/2017,16:27,3.52,28.812,2.981,1.001,,08/12/2017,00:20,0.83,28.23,,
08/12/2017,16:37,3.52,28.786,2.803,1,,08/12/2017,00:25,0.83,28.23,,
08/12/2017,16:47,3.52,28.786,2.859,1.001,,08/12/2017,00:30,0.76,28.23,,
08/12/2017,16:57,3.51,28.795,3.232,1.001,,08/12/2017,00:35,1.1,28.23,,
08/12/2017,17:07,3.52,28.795,3.043,1.001,,08/12/2017,00:40,1.19,28.23,,
08/12/2017,17:17,3.52,28.795,2.906,1.001,,08/12/2017,00:45,1.45,28.23,,
08/12/2017,17:27,3.52,28.803,2.761,1.001,,08/12/2017,00:50,0.84,28.23,,
08/12/2017,17:37,3.52,28.786,3.123,1.001,,08/12/2017,00:55,1.02,28.23,,
08/12/2017,17:47,3.52,28.829,3.007,1.001,,08/12/2017,01:00,0.83,28.23,,
08/12/2017,17:57,3.52,28.863,2.937,1.002,,08/12/2017,01:05,0.63,28.23,,
08/12/2017,18:07,3.52,28.881,2.735,1.001,,08/12/2017,01:10,0.74,28.23,,
08/12/2017,18:17,3.52,28.898,2.776,1.001,,08/12/2017,01:15,0.8,28.23,,
08/12/2017,18:27,3.52,28.898,2.785,1.001,,08/12/2017,01:20,0.83,28.23,,
08/12/2017,18:37,3.52,28.881,2.784,1.001,,08/12/2017,01:25,0.83,28.23,,
08/12/2017,18:47,3.52,28.881,2.887,1.002,,08/12/2017,01:30,0.82,28.23,,
08/12/2017,18:57,3.52,28.855,2.807,1.001,,08/12/2017,01:35,0.83,28.23,,
08/12/2017,19:07,3.52,28.846,2.701,1.001,,08/12/2017,01:40,0.81,28.23,,
08/12/2017,19:17,3.52,28.829,2.811,1.001,,08/12/2017,01:45,0.83,28.23,,
08/12/2017,19:27,3.52,28.829,2.694,1.001,,08/12/2017,01:50,1.19,28.23,,
08/12/2017,19:37,3.52,28.812,2.582,1.001,,08/12/2017,01:55,0.76,28.23,,
08/12/2017,19:47,3.52,28.821,2.568,1.001,,08/12/2017,02:00,0.75,28.23,,
08/12/2017,19:57,3.52,28.803,2.413,1,,08/12/2017,02:05,0.78,28.23,,
08/12/2017,20:07,3.52,28.838,2.461,1.001,,08/12/2017,02:10,0.81,28.23,,
08/12/2017,20:17,3.52,28.821,2.458,1.001,,08/12/2017,02:15,0.71,28.23,,
08/12/2017,20:27,3.52,28.821,2.437,1.001,,08/12/2017,02:20,0.72,28.23,,
08/12/2017,20:37,3.52,28.846,2.435,1.001,,08/12/2017,02:25,0.79,28.23,,
08/12/2017,20:47,3.52,28.829,2.386,1.001,,08/12/2017,02:30,0.84,28.23,,
08/12/2017,20:57,3.52,28.821,2.28,1.001,,08/12/2017,02:35,0.76,28.23,,
08/12/2017,21:07,3.52,28.829,2.437,1.001,,08/12/2017,02:40,0.83,28.23,,
08/12/2017,21:17,3.52,28.812,2.368,1.001,,08/12/2017,02:45,0.84,28.23,,
08/12/2017,21:27,3.52,28.803,2.31,1.002,,08/12/2017,02:50,1.45,28.23,,
08/12/2017,21:37,3.52,28.795,2.264,1,,08/12/2017,02:55,1.88,28.23,,
08/12/2017,21:47,3.52,28.803,2.431,1,,08/12/2017,03:00,1.27,28.23,,
08/12/2017,21:57,3.52,28.761,2.672,1.002,,08/12/2017,03:05,0.84,28.23,,
08/12/2017,22:07,3.52,28.743,2.894,1.001,,08/12/2017,03:10,0.81,28.23,,
08/12/2017,22:17,3.52,28.735,2.913,1.001,,08/12/2017,03:15,0.74,28.23,,
08/12/2017,22:27,3.52,28.718,2.791,1.001,,08/12/2017,03:20,0.77,28.32,,
08/12/2017,22:37,3.52,28.683,2.989,1,,08/12/2017,03:25,0.82,28.32,,
08/12/2017,22:47,3.52,28.718,2.942,1.001,,08/12/2017,03:30,0.82,28.32,,
08/12/2017,22:57,3.52,28.683,3.045,1.001,,08/12/2017,03:35,0.79,28.32,,
08/12/2017,23:07,3.52,28.701,2.784,1.001,,08/12/2017,03:40,0.75,28.32,,
08/12/2017,23:17,3.52,28.658,2.576,1,,08/12/2017,03:45,0.69,28.32,,
08/12/2017,23:27,3.52,28.675,2.643,1.001,,08/12/2017,03:50,0.65,28.32,,
08/12/2017,23:37,3.52,28.649,2.825,1.001,,08/12/2017,03:55,0.72,28.32,,
08/12/2017,23:47,3.52,28.632,2.718,0.999,,08/12/2017,04:00,0.66,28.32,,
08/12/2017,23:57,3.52,28.632,2.81,1,,08/12/2017,04:05,0.67,28.32,,
09/12/2017,0:07,3.52,28.632,2.787,1.002,,08/12/2017,04:10,0.68,28.32,,
09/12/2017,0:17,3.52,28.632,2.8,1,,08/12/2017,04:15,0.7,28.32,,
09/12/2017,0:27,3.52,28.632,2.951,1.001,,08/12/2017,04:20,0.74,28.32,,
09/12/2017,0:37,3.52,28.598,3.093,1.001,,08/12/2017,04:25,0.76,28.41,,
09/12/2017,0:47,3.52,28.598,3.008,1.001,,08/12/2017,04:30,0.74,28.32,,
09/12/2017,0:57,3.52,28.606,3.129,1.001,,08/12/2017,04:35,0.67,28.32,,
09/12/2017,1:07,3.52,28.615,3.298,1.001,,08/12/2017,04:40,0.71,28.41,,
09/12/2017,1:17,3.52,28.615,3.295,1.002,,08/12/2017,04:45,0.77,28.41,,
09/12/2017,1:27,3.52,28.623,3.174,1.001,,08/12/2017,04:50,0.83,28.41,,
09/12/2017,1:37,3.52,28.623,3.275,1.002,,08/12/2017,04:55,0.84,28.41,,
09/12/2017,1:47,3.52,28.632,3.153,1,,08/12/2017,05:00,1.27,28.51,,
09/12/2017,1:57,3.52,28.641,3.138,1.001,,08/12/2017,05:05,1.19,28.51,,
09/12/2017,2:07,3.52,28.675,3.19,1.001,,08/12/2017,05:10,0.84,28.41,,
09/12/2017,2:17,3.52,28.675,3.185,1,,08/12/2017,05:15,0.83,28.6,,
09/12/2017,2:27,3.52,28.701,3.146,1.001,,08/12/2017,05:20,2.39,28.51,,
09/12/2017,2:37,3.52,28.718,3.245,1.001,,08/12/2017,05:25,0.93,28.51,,
09/12/2017,2:47,3.52,28.726,3.35,1.002,,08/12/2017,05:30,1.1,28.51,,
09/12/2017,2:57,3.52,28.743,3.38,1.001,,08/12/2017,05:35,0.84,28.69,,
09/12/2017,3:07,3.52,28.743,3.334,1,,08/12/2017,05:40,0.83,28.6,,
09/12/2017,3:17,3.52,28.769,3.452,1,,08/12/2017,05:45,1.45,28.6,,
09/12/2017,3:27,3.52,28.786,3.471,1,,08/12/2017,05:50,0.83,28.41,,
